,Unnamed: 0,Name,City,phone_no,location,Full Address,Latitude,Longitude,cuisines,rate,number of reviews
0,0,Beeja,Cairo,1030023000,"53 Abou El Feda Biota Complex, Cairo 11511 Egypt","Beeja Cairo 53 Abou El Feda Biota Complex, Cairo 11511 Egypt ",30.0730575,31.2224477,"Mediterranean, Egyptian, Middle Eastern",5.0,1940.0
1,1,The Blue Restaurant & Grill,Cairo,+20 2 27980000,"12 Ahmed Ragheb Street Garden City, Cairo 11519 Egypt","The Blue Restaurant & Grill Cairo 12 Ahmed Ragheb Street Garden City, Cairo 11519 Egypt ",30.0386546,31.2304663,Mediterranean,5.0,1734.0
2,3,Lobby Lounge,Cairo,+20 2 25778899,"1113 Corniche El Nil, Downtown, Cairo 11221 Egypt","Lobby Lounge Cairo 1113 Corniche El Nil, Downtown, Cairo 11221 Egypt ",30.0467142,31.2347129,"International, Bar, Egyptian",5.0,580.0
3,4,Culina,Cairo,+20 2 25778899,"1113 Corniche El Nil Street The Nile Ritz-Carlton, Downtown, Cairo 11221 Egypt","Culina Cairo 1113 Corniche El Nil Street The Nile Ritz-Carlton, Downtown, Cairo 11221 Egypt ",30.0467142,31.2347129,"Mediterranean, European, Middle Eastern, Egyptian, International",5.0,814.0
4,6,Raj,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis Al Orouba Street ,, Cairo 11511 Egypt","Raj Cairo Hilton Cairo Heliopolis Al Orouba Street ,, Cairo 11511 Egypt ",30.1067689,31.3645509,Indian,5.0,510.0
5,7,Shogun Japanese Restaurant,Cairo,+20 2 24800009,"Omar Ibn EL Khattab St. Heliopolis InterContinental Cairo Citystars, Cairo 11511 Egypt","Shogun Japanese Restaurant Cairo Omar Ibn EL Khattab St. Heliopolis InterContinental Cairo Citystars, Cairo 11511 Egypt ",30.0723146,31.3476509,"Japanese, Sushi, Asian",5.0,1289.0
6,10,Fayruz Lebanese Restaurant,Cairo,+20 2 24800009,"InterContinental Cairo Citystars Omar Ibn El Khattab St., Heliopolis, Cairo 11511 Egypt","Fayruz Lebanese Restaurant Cairo InterContinental Cairo Citystars Omar Ibn El Khattab St., Heliopolis, Cairo 11511 Egypt ",30.072351,31.3480106,"Lebanese, Mediterranean, Healthy, Middle Eastern",5.0,1986.0
7,13,Al Khal Egyptian Restaurant,Cairo,+20 2 24800009,"InterContinental Cairo Citystars Omar Bin Khattab Street, Cairo 11511 Egypt","Al Khal Egyptian Restaurant Cairo InterContinental Cairo Citystars Omar Bin Khattab Street, Cairo 11511 Egypt ",30.0724124,31.3479105,"Middle Eastern, Egyptian, Barbecue, Arabic",5.0,1664.0
8,15,Vivo - The Nile Ritz-Carlton,Cairo,+20 2 25778899,"1113 Corniche El Nil The Nile Ritz Carlton -Second floor, Cairo 11221 Egypt","Vivo - The Nile Ritz-Carlton Cairo 1113 Corniche El Nil The Nile Ritz Carlton -Second floor, Cairo 11221 Egypt ",30.0444196,31.2357116,"Italian, Mediterranean, European, Tuscan, Ligurian, Northern-Italian, Central-Italian",5.0,1346.0
9,16,ZEN Cafe & Lounge,Cairo,+20 2 25260601,"Holiday Inn Cairo Maadi, 29 Corniche El Nil, Cairo 11511 Egypt","ZEN Cafe & Lounge Cairo Holiday Inn Cairo Maadi, 29 Corniche El Nil, Cairo 11511 Egypt ",30.0444196,31.2357116,"Cafe, International, Bar, Healthy",5.0,313.0
10,18,Sachi Park St,Cairo,+20 127 866 6185,"17 Al Bostan St, Cairo 11511 Egypt","Sachi Park St Cairo 17 Al Bostan St, Cairo 11511 Egypt ",30.0452762,31.2383576,"Mediterranean, Asian, Japanese, Healthy",5.0,202.0
11,19,AL Dabke,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis Uruba Street, Heliopolis, Cairo 11511 Egypt","AL Dabke Cairo Hilton Cairo Heliopolis Uruba Street, Heliopolis, Cairo 11511 Egypt ",30.1065062,31.3650391,Lebanese,5.0,528.0
12,21,Leonardo Ristorante,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis Al Orouba Street, Heliopolis, Cairo 11511 Egypt","Leonardo Ristorante Cairo Hilton Cairo Heliopolis Al Orouba Street, Heliopolis, Cairo 11511 Egypt ",30.1067689,31.3645509,"Italian, Pizza, Mediterranean, European, Tuscan, Romana, Lazio, Central-Italian",5.0,390.0
13,23,Meaet,Cairo,+20 101 102 8888,"22 El-farik Abd El-moniem Riad Dokki, Cairo 11511 Egypt","Meaet Cairo 22 El-farik Abd El-moniem Riad Dokki, Cairo 11511 Egypt ",30.0505458,31.20562,"American, International, Fusion, Argentinean, South American",5.0,75.0
14,28,El-khan Restaurant,Cairo,+20 103 305 5585,"Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Cairo 11511 Egypt","El-khan Restaurant Cairo Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Cairo 11511 Egypt ",30.0033427,31.4012146,"Egyptian, Middle Eastern",5.0,86.0
15,29,Night & Day,Cairo,+20 2 27988000,"InterContinental Cairo Semiramis Corniche El Nile, Garden City, Cairo 11511 Egypt","Night & Day Cairo InterContinental Cairo Semiramis Corniche El Nile, Garden City, Cairo 11511 Egypt ",30.0380584,31.2325889,"Middle Eastern, Egyptian, International",5.0,392.0
16,30,Piccolino,Cairo,+20 103 305 5585,"Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Fifth Settlement, Cairo 11511 Egypt","Piccolino Cairo Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Fifth Settlement, Cairo 11511 Egypt ",30.0033427,31.4012146,Italian,5.0,129.0
