name,ratings,prices,aminities,location,description,City
SUNRISE Alex Avenue Hotel,4.5,"EGP 2,273","Smoking rooms available,Suites,Non-smoking rooms,Pool view,Ocean view,Hair dryer,Complimentary toiletries,Electric kettle,Wake-up service / alarm clock,Tile / marble floor,Clothes rack,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Seating area,Safe,Room service,Bath / shower,Cable / satellite TV,Minibar,Coffee / tea maker,Private balcony,Interconnected rooms available,Housekeeping,Air conditioning,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,First aid kit,Doorperson,ATM on site,Sun loungers / beach chairs,Shops,Newspaper,Gift shop,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Meeting rooms,Banquet room,Business Centre with Internet Access,Car hire,Highchairs available,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Restaurant,Coffee shop,Bar / lounge,Sauna,Outdoor pool,Pool / beach towels,Hot bath,Paid internet,Kids pool,Kids stay free,Beach,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Wifi,Paid private parking on-site,","Corniche Road Roshdi, Alexandria 99998 Egypt","SUNRISE Alex Avenue Hotel is situated directly in the heart of Alexandria, combining a stellar seafront location, a secluded private beach with business amenities of a five-star hotel. The resort features a variety of restaurants, bars & cafes, a fully equipped gym (16+) and a full-serviced spa & beauty salon (chargeable). Wi-Fi is available throughout the resort. The hotel features a total of 167 rooms, which all enjoy a stunning sea view. The rooms come with a SAT LED TV, a safe box, a minibar, tea & coffee facilities and a terrace or balcony. The resort offers 5 restaurants in addition to the View Cafe with uninterrupted views of the Mediterranean Sea. Besides a private sandy beach, SUNRISE Alex Avenue Hotel features 2 swimming pools, a kid’s pool and a tennis court. With a large variety of conference and meeting rooms, SUNRISE Alex Avenue Resort offers several venues for your event. Additionally, the hotel is prepared to host your meetings, conferences, weddings or any other type of event at the open beach side, poolside or garden spaces. The hotel is located only 3 km from the city centre and the stunning Bibliotheca Alexandria.",Alexandria
Hilton Alexandria Corniche,4.5,"EGP 2,605","Family rooms,Non-smoking rooms,Bridal suite,Pool view,City view,Ocean view,Hair dryer,Complimentary toiletries,Bath / shower,Electric kettle,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Safe,Room service,Private balcony,Housekeeping,Whirlpool bathtub,Flatscreen TV,Coffee / tea maker,Desk,Additional bathroom,Private beach,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Laundry service,Dry cleaning,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,First aid kit,Doorperson,ATM on site,Sun umbrellas,Sun loungers / beach chairs,Sun deck,Newspaper,Gift shop,Currency exchange,Concierge,Baggage storage,BBQ facilities,24-hour security,Rooftop terrace,Massage,Head massage,Full body massage,Foot massage,Facial treatments,Couples massage,Spa,Meeting rooms,Banquet room,Conference facilities,Taxi service,Car hire,Airport transportation,Poolside bar,Swimup bar,Snack bar,Kids' meals,Kid-friendly buffet,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Fitness classes,Fitness / spa changing rooms,Outdoor pool,Pool with view,Infinity pool,Pool / beach towels,Hot bath,Paid internet,Free shuttle or taxi services,Kids stay free,Beach,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Wifi,Valet parking,","544 El Geish Road, Sidi Bishr, Alexandria 21611 Egypt","Enjoy gorgeous views of the Mediterranean Sea and historic surroundings at Hilton Alexandria Corniche. Set in the heart of the city, our hotel is steps from the Corniche beachfront walkway and minutes to Alexandria National Museum, Souk El-Attarine and Montazah Palace Gardens. Indulge in our exclusive wellness center, rooftop pool, and 6 restaurants and bars. For the ultimate treat, take the free shuttle to our private beach. The hotel is steps from the Corniche, a seafront corridor of restaurants, markets and historical sites. Explore Egypt's rich history at the Royal Jewelry Museum or the Catacombs of Kom el Shoqafa. Just 15 minutes away is Bibliotheca Alexandrina, a must-see structure with museums, a planetarium and a re-creation of the Ancient Library of Alexandria.",Alexandria
TOLIP Hotel Alexandria,3.5,"EGP 1,498","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Ocean view,Flatscreen TV,Minibar,Safe,Room service,Private balcony,Private beach,Air conditioning,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Concierge,24-hour security,Spa,Meeting rooms,Banquet room,Conference facilities,Car hire,Shuttle bus service,Breakfast buffet,Breakfast available,Restaurant,Bar / lounge,Sauna,Outdoor pool,Public wifi,Business Centre with Internet Access,Airport transportation,Kids club,Children Activities (Kid / Family Friendly),Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Free internet,","252 El-Gaish Rd Mustafa Kamel WA Bolkli, Alexandria 0000 Egypt","Alexandria with its 477 highly equipped and elegant rooms, suites and penthouses, offers a wide array of services just to make you feel at home.All of our rooms are provided with WIFI internet, Flat LCD/TV screen, tea/coffee making, and facilities, digital safe box, mini bar, hairdryer signature amenities and signature bathrobes.Royal Tulip Alexandria offers you a variety of restaurants, lounges and bars with the best atmosphere indoor and outdoor by the sea view.",Alexandria
Romance Alexandria Hotel,4.5,"EGP 1,885","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Ocean view,Bottled water,VIP room facilities,Safe,Flatscreen TV,Minibar,Room service,Private balcony,Housekeeping,Private beach,Air conditioning,Soundproof rooms,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,Doorperson,ATM on site,Shops,Gift shop,Concierge,Baggage storage,24-hour security,Salon,Meeting rooms,Banquet room,Taxi service,Car hire,Nightclub / DJ,Wine / champagne,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Public wifi,Paid private parking on-site,Conference facilities,Free shuttle or taxi services,Kids stay free,Evening entertainment,Billiards,Bar / lounge,Free internet,Valet parking,","303 Avenue El-Gueish - Saba Pasha, Alexandria 31211 Egypt","This 4 star hotel is located in the elegant Saba Pasha district, between the Montaza Palace and the centre of the city,. Romance Alexandria Hotel offers 45 suites and 36 rooms all with panoramic sea views, of which most have been recently renovated. The hotel features gourmet restaurants, a coffee shop, a bar and a nightclub in addition to a fully renovated multi-function ballroom and private parking, wifi free with high speed , New SPA& GYM facilities & free shuttle bus service for all guest in house .",Alexandria
Steigenberger Cecil Hotel,4.0,"EGP 2,253","Family rooms,Suites,Non-smoking rooms,Bridal suite,Ocean view,Flatscreen TV,Minibar,VIP room facilities,Safe,Room service,Private balcony,Air conditioning,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,ATM on site,Newspaper,Currency exchange,Concierge,Meeting rooms,Banquet room,Taxi service,Car hire,Snack bar,Breakfast in the room,Breakfast buffet,Restaurant,Wifi,Baggage storage,24-hour security,Conference facilities,Business Centre with Internet Access,Airport transportation,Nightclub / DJ,Bar / lounge,Free High Speed Internet (WiFi),","16, Saad Zagloul Square, Alexandria 21599 Egypt","Steigenberger Cecil Alexandria lets you experience all the splendor of this amazing city first hand. Conveniently located in the heart of the business district, overlooking the bay and yacht club, this exquisite hotel is just minutes from the airport, ideal for business or pleasure. Built in 1929 yet constantly in step with the times, it provides a perfect blend of modern amenities and old world charm. Discerning connoisseurs also appreciate the impeccable service and attention to detail.",Alexandria
Helnan Palestine Hotel,4.0,"EGP 4,529","Smoking rooms available,Suites,Non-smoking rooms,Pool view,Landmark view,Ocean view,Flatscreen TV,Electric kettle,Minibar,Wake-up service / alarm clock,Private bathrooms,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Safe,Room service,Private balcony,Interconnected rooms available,Housekeeping,Bath / shower,Cable / satellite TV,Coffee / tea maker,Desk,Private beach,Air conditioning,Bathrobes,Blackout curtains,Ironing service,Laundry service,Dry cleaning,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,Umbrella,ATM on site,Sun umbrellas,Sun loungers / beach chairs,Picnic area,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Makeup services,Head massage,Hand massage,Full body massage,Foot massage,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Highchairs available,Poolside bar,Wine / champagne,Outdoor dining area,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Fitness / spa changing rooms,Outdoor pool,Pool with view,Pool / beach towels,Wifi,Children Activities (Kid / Family Friendly),Billiards,Beach,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,","El- Montazah Palace, Alexandria 21599 Egypt","The Hotel is The civic & social center of Alexandria, known for its commitment to excellence in service & hospitality,The hotel is a five star deluxe hotel, situated in a unique location and embracing the Mediterranean and providing harmonious scenery. The vast magnificent gifts of nature, 350 acres of gardens and golden sandy beaches surround its bay. The hotel faces one of the most famous historical landmarks in Alexandria, ""Royal Palace"" which was once the site where the late Egyptian royal family vacationed.",Alexandria
Hilton Alexandria Green Plaza,4.5,"EGP 1,510","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,City view,Hair dryer,Bath / shower,Flatscreen TV,Electric kettle,Minibar,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Laptop safe,Iron,Clothes rack,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Sofa,Seating area,Safe,Room service,Private balcony,Interconnected rooms available,Housekeeping,Bathrobes,Walk-in shower,Cable / satellite TV,Coffee / tea maker,Desk,Additional bathroom,Air conditioning,Soundproof rooms,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,First aid kit,Doorperson,ATM on site,Sun umbrellas,Sun loungers / beach chairs,Shops,Newspaper,Executive lounge access,Currency exchange,Concierge,Baggage storage,BBQ facilities,24-hour security,Waxing services,Steam room,Neck massage,Massage,Light therapy,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Foot bath,Facial treatments,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Taxi service,Airport transportation,Highchairs available,Kids pool,Walking tours,Poolside bar,Swimup bar,Wine / champagne,Special diet menus,Outdoor dining area,Kids' meals,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Personal trainer,Fitness / spa changing rooms,Outdoor pool,Pool / beach towels,Hot bath,Paid wifi,Wifi,Children's television networks,Evening entertainment,Billiards,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free internet,Parking,","14th of May Bridge Road Smouha, Alexandria 21599 Egypt","Situated in the heart of Egypt’s second largest city, Hilton Alexandria Green Plaza offers contemporary accommodation and a wealth of business and leisure amenities. Dine in one of the six restaurants & bars, relax by the outdoor & indoor pool or make the most of our superb conference facilities, including the city’s largest ballroom and meeting space. Located inside one of Egypt’s largest shopping malls in Smouha business district, the hotel makes the ideal base for visiting nearby attractions, such as Qaitbay Fort and Bibliotheca Alexandrina.",Alexandria
Paradise Inn Windsor Palace Hotel,3.5,"EGP 2,359","Smoking rooms available,Family rooms,Suites,Bridal suite,City view,Ocean view,Hair dryer,Bath / shower,Flatscreen TV,Wake-up service / alarm clock,Private bathrooms,Bottled water,Wardrobe / wardrobe,Telephone,Sofa,Separate living room,Separate dining area,Seating area,Safe,Room service,Private balcony,Bidet,Cable / satellite TV,Electric kettle,Minibar,Housekeeping,Dining area,Desk,Air conditioning,Ironing service,Laundry service,Dry cleaning,Clothes dryer,Express check-in / check-out,24-hour front desk,Doorperson,ATM on site,Sun terrace,Outdoor furniture,Concierge,Baggage storage,Rooftop bar,Outdoor dining area,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Wifi,24-hour security,Rooftop terrace,Car hire,Nightclub / DJ,Evening entertainment,Bar / lounge,Free internet,Valet parking,","17 El Shohada Street From El Gish St, El Mansheya, Alexandria 21599 Egypt","Dating back to the early 20th century, this historic 4-star hotel is situated directly on Alexandria’s waterfront. The elegant rooms of Windsor Palace Hotel offer hand-decorated high ceilings. All rooms and suites are equipped with a coffee tray, satellite TV, free WI-FI, mini bar, toiletries kit, slippers, hairdryer, balcony, parking, in-house laundry service, individually controlled air-conditioning, and 24 hours room service. Windsor Palace Hotel is known for its glory and graciousness from a Golden Era as one of Alexandria's heritage hotels. The hotel offers a range of luxury venues that are perfect for business meetings or social occasions such as Queen Elizabeth Hall, King Edward Hall, and Prince of Wales Hall. The hotel includes two restaurants; Blue harbor casual dining restaurant offers a daily open buffet breakfast from 7:30 am to 11:30 am and an a la carte menu for lunch and dinner with charming views of The Mediterranean sea, and Sky Roof Lounge & Club for a night out with daily live Resident Dj and European Djs with a direct view of The Mediterranean sea.",Alexandria
Hilton Alexandria King's Ranch,4.5,"EGP 2,059","Family rooms,Suites,Non-smoking rooms,Flatscreen TV,Minibar,VIP room facilities,Safe,Room service,Private balcony,Air conditioning,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Butler service,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Facial treatments,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Car hire,Kids club,Children Activities (Kid / Family Friendly),Poolside bar,Swimup bar,Breakfast buffet,Restaurant,Bar / lounge,Sauna,Fitness classes,Fitness / spa changing rooms,Heated pool,Outdoor pool,Indoor pool,Infinity pool,Pool / beach towels,Hot bath,Wifi,Airport transportation,Babysitting,Kids stay free,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Parking,","10 5 Km Borg Elarab Rd, King Mariout, Alexandria 21599 Egypt","deally situated away from the hustle and bustle of the busy city, Hilton Alexandria King's Ranch is set in the dynamic new industrial area of Alexandria, adjacent to the King's Ranch Equestrian Club and just 15 minutes' drive from Borg El Arab Airport. Enjoy easy access to the Borg El Arab Stadium and lots of shopping opportunities, including the Carrefour hypermarket. The city center is just 30 minutes' by car, and the Library of Alexandria is only 40 km from this Hilton hotel in Alexandria. Featuring a divisible ballroom, four conference rooms, a boardroom and a 24-hour business center, this Alexandria hotel is a unique venue ideal for business events, cocktail receptions and weddings for up to 400 people. Contemporary A/V technology, onsite catering and our friendly, professional staff will ensure that your event is a success. Energize with the latest exercise equipment in the complimentary fitness center, swim in the indoor pool, or sip an iced cocktail on the outdoor terrace beside the 2500 sq. meter outdoor swimming pool. Enjoy a wide array of treatments in the luxurious Premedion Spa - one of the largest spa facilities in the city. Be spoiled for choice with several bars and restaurants, offering a variety of tempting cuisines and settings.",Alexandria
"Radisson Blu Hotel, Alexandria",4.5,"EGP 2,855","Family rooms,Suites,Non-smoking rooms,Bridal suite,Flatscreen TV,Minibar,VIP room facilities,Safe,Room service,Private balcony,Housekeeping,Air conditioning,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,ATM on site,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Facial treatments,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Kids club,Poolside bar,Swimup bar,Breakfast in the room,Breakfast buffet,Restaurant,Bar / lounge,Sauna,Fitness / spa changing rooms,Heated pool,Outdoor pool,Infinity pool,Hot bath,Wifi,Parking,Airport transportation,Children Activities (Kid / Family Friendly),Kids stay free,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Free parking,","Mehwar El Taameer Northern Coast Road 23rd KM, Alexandria 21599 Egypt","Stylish accommodation with excellent amenities , Spa facilities and on-site convention center .In addition to an outstanding location in the upscale Alex West district, our hotel offers stylish accommodation with private terraces to capitalize on the stunning surrounding scenery. Our rooms and suites showcase elegant interior design and convenient amenities, including premium bath products and free high-speed Wi-Fi. Dining is also a pleasure at our Alexandria hotel, with 4 on-site restaurants and 2 on-site bars – the perfect place to make memories over food and drinks. In a world of well being take advantage of the 5-star services at our spa and fitness center. Allow our concierge to watch your children in our Kids’ Club while you relax with a soothing massage. Planning an event in Alexandria? The newly opened Alexandrina convention center offers multi-purpose halls with ingenious design. Whatever you envision for your professional meeting or a booming special event .",Alexandria
