"InterContinental Cairo Semiramis, an IHG Hotel",4.5,"2,840",,,"Corniche El Nil, Cairo 11511 Egypt","On the historic Semiramis hotel site, guests can enjoy modern luxury by the river Nile. Semiramis InterContinental Cairo is 23 KM from Cairo International airport with a premium location in the heart of the city center next to the Egyptian Museum and Khan el Khalili. The Hotel features a 26 sq m2 rooftop pool, fine dining with exquisite cuisine, conference facilities, a state of the art spa, a shopping arcade, and the Nile Terrace offering stunning views of the sunset over the Nile."
Steigenberger Hotel El Tahrir,4.5,"1,624","EGP�3,951",,"2 Kasr El Nile St Tahrir Square, Cairo 11511 Egypt","Among Cairo hotels, Steigenberger El Tahrir secures a spectacular location in El Tahrir Square, overlooking the Egyptian museum, minutes away from Khan El Khalili Bazar, and in close proximity to Egypt's major attractions with a total area of 21,633 sqm. The hotel boasts 295 guest rooms and suites with luxurious decoration items and in-room amenities. This landmark hotel is an ideal location for business trips and social events, offering a variety of culinary outlets, a swimming pool, gym and banqueting facilities."
Kempinski Nile Hotel Garden City Cairo,4.5,"4,191","EGP�6,281",,"12 Ahmed Ragheb Street Garden City, Cairo 11519 Egypt","Situated in Cairo�s affluent Garden City district, Kempinski Nile Hotel offers luxurious rooms on the shores of the Nile RiverEach room is fitted with free Wi-Fi, free Minibar, Flat Screen TVs with satellite Channels, Free Movie Library, 24/7 Butler Service, Complimentary Tea and Coffee throughout the day. Kempinski�s full-service spa and wellness center offers Free access to Jacuzzi, steam room, and sauna.. Guests can also enjoy professional massages, or cool off in the outdoor swimming pool on the hotel�s rooftop.The hotel is few minutes walk from luxurious shopping areas, Tahrir square, Egyptian Museum, Opera House."
"Al Masa Hotel, Nasr City",5.0,929,"EGP�1,853",,"Dr Abd Al Aziz Al Shennawy St, Cairo 11511 Egypt","You are invited to escape the noise and the pollution and to enjoy the peaceful atmosphere on Al Masa spectacular heights. While sitting under a pergola surrounded by the stunning nature enjoy beverage of choice that are served to match the moment. It is the spot for a quiet, contemplative moment where you can enjoy the tranquility of the environment. In a one-of-a-kind experience, imagine your self-hiking along one of the most beautiful ridge walks in the green foothills. Al Masa Hotel features a terrace with a swimming pool. In the green area of Nasr City, it includes 5 restaurants and a spa center. All the elegant rooms have a balcony. Al Masa Hotel has a selection of activities, including different types of massages, Billiards, cinema and bowling. Cairo International Airport is a 10-minute drive and Cairo International Conference Centre is just a 5-minute drive away. The center of Cairo and the Egyptian Museum are both 20 minutes away by car."
Cairo Marriott Hotel & Omar Khayyam Casino,4.5,"3,826",,,"16 Saray El Gezira Street Zamalek, Cairo 11511 Egypt","Among premier Cairo, Egypt hotels, Cairo Marriott Hotel & Omar Khayyam Casino sits in the Zamalek area and is the perfect destination for weekend getaways, vacations, and business travel. The twin towers of this landmark hotel in Cairo rise 20 stories high and provide magnificent views of the Nile and six acres of palace gardens."
Le Passage Cairo Hotel & Casino,4.5,"3,220","EGP�3,036",,"Cairo International Airport Road El Horreya-Heliopolis, Cairo 11511 Egypt","Le Passage Cairo Hotel & Casino is located in Heliopolis, an elegant business and residential district in Cairo and it is considered one of the safest area in town. The hotel is only five minutes from Cairo International Airport and ten minutes from the Cairo International Convention Centre and Fair Grounds, with free shuttle bus service, free wifi and free internet. Great design is the key to this urban, cosmopolitan business and leisure base, providing a sophisticated and stylish environment in the throbbing heart of Egypt and the Middle East. Le Passage Cairo Hotel & Casino celebrates individuality with a wide range of accommodation choices from well appointed rooms and suites with exquisite views to the Executive Club floor which is ideal for business travelers, short breaks, family holidays or those special occasions."
Fairmont Nile City,4.5,"5,393",,,"Nile City Towers - 2005 B, Corniche El Nil Ramlet Beaulac, Cairo 2466 Egypt","A melting pot of history and diversity, the city of Cairo is ideal for both business and leisure. Like the city itself, Fairmont Nile City offers a delightful series of contrasts, combining advanced technology and modern design with local flavors and flair. With sweeping panoramas of the river Nile and the Pyramids in the distance, Cairo�s beauty and history are always in sight from your luxury accommodation. During your stay, embark on culinary adventures at the city�s finest restaurants, enjoy the fresh air at our rooftop poolside restaurant and pamper yourself at Willow Stream Spa. Part of the prestigious Nile City complex, this luxury hotel is the perfect location for business events. The space consists of 845 square meters (9,100 square feet) plus 450 square meters (4,800 square feet) of outdoor space dedicated to meetings and conventions, comprising of 10 meeting rooms including a ballroom. The space also offers spectacular river Nile views."
"Sonesta Hotel, Tower & Casino Cairo",4.5,"1,611","EGP�2,876",,"3 El Tayaran Street Nasr City, Cairo 9039 Egypt","The Sonesta Cairo's 409 spacious guest rooms and suites offer a variety of luxurious amenities. A room on the executive floors offer exclusive lounges and 24-hour concierge service. The poolside bar and full-service spa with a Turkish steam bath are heavens for relaxation. After the pampering, the hotel offers several options at its gourmet restaurants serving Italian, Lebanese, Japanese, or French cuisine. One of the best Cairo hotels, the Sonesta is ideal for both business and leisure travellers. ** As per the Ministry of Health and Ministry of Tourism's recent rules and regulations; Non-Egyptian guests are required to provide to the hotel a proof of a negative PCR test for (COVID-19) issued not more than 72 hours prior to arrival (starting 15 August, 2020)"
Sofitel Cairo Nile El Gezirah,4.5,"3,918",,,"3 El Thawra Council St Zamalek, Cairo Egypt","On the southern tip of Gezirah Island, the hotel is a corner of paradise in central Cairo, minutes from Cairo�s business districts. Discover a haven of peace during a vacation in Egypt, and a comfortable base to rest after a successful day of business. Relax by the pool, pamper yourself in Sofitel SPA, wine and dine in our international restaurants and bars. Surrender to luxury and come for a day, a weekend, a week�or more. A stroll along the hotel�s lush riverside promenade takes you to a host of acclaimed restaurants and bars. You can take your time, enjoying the cool shade of exotic palms and breathing in the scent of hibiscus. You�ll hear the gentle sound of water lapping as you rest on a Nile-side terrace with a cool drink, and dine on international cuisine. It�s especially beautiful at dusk, when the sun sets over Cairo�s skyline and vibrant nightlife. Escape the city for a day at our secluded Cairo hotel, which feels like an exclusive Egyptian resort set in lush gardens. Take advantage of Sofitel SPA and Sofitel FIT, float in an infinity pool overlooking the Nile, unwind in a bubbling whirlpool bath� whatever you desire. Day membership includes discounts to the restaurants and bars which line the Nile-side promenade, promising refreshment and fun for families, couples and friends."
"Radisson Blu Hotel, Cairo Heliopolis",4.0,"2,108",,,"Abdel Hamid Badawi Street Extension Heliopolis Area, Cairo 11511 Egypt","Superbly located in Heliopolis, The new Radisson Blu Hotel, Cairo Heliopolis is the hotel of choice for business travelers and tourists. Providing spacious, well appointed guest rooms. The hotel is the perfect oasis for guest visiting the city. Flexible meeting rooms and a day-lit ballroom make the hotel one of the area's premiere conference venues. After a hard day�s work, or following a visit to Cairo sights guests can relax and unwind in the Egyptian sun at the hotel�s rooftop pool and elegant spa area."
Dusit Thani LakeView Cairo,4.5,"3,539",,,"El Tesseen Street City Centre, Fifth Settlement, New Cairo, Cairo 11511 Egypt","An oasis of greenery in the heart of New Cairo, Dusit Thani Lake View Cairo brings a taste of gracious Thai hospitality to the center of Egypt. Conveniently situated near Cairo International airport, the hotel enjoys pride of place in New Cairo�s Fifth Settlement in close proximity to the main roads that lead to major attractions, including the Pyramids, Sphinx, Citadel and Egyptian Museum. Guests are welcomed with elegant rooms and suites, three outdoor swimming pools, a fitness center, world-class spa and an array of fine dining options spanning a world of tastes and flavours."
Royal Maxim Palace Kempinski Cairo,4.5,"2,041","EGP�7,389",,"First Settlement, Cairo 11511 Egypt","Let us welcome you to Royal Maxim Palace Kempinski, a haven of tranquillity in the heart of New Cairo. Offering a range of palatial services, the 5 star hotel features the finest facilities coupled with the highest levels of service. The hotel�s optimum location on the city�s ring road and its close proximity to Cairo International Airport make it the perfect starting point from which to explore Cairo�s treasures. With a distinctive architecture standing proudly against the New Cairo skyline, each of the 245 rooms and suites present comfortable and elegant fittings and furnishings. Enhance your stay with a visit to one of our eight exceptional restaurants & bars, or treat yourself to a rejuvenating treatment at our world-class Resense Spa. The unique architecture of New Cairo�s palatial landmark extends to our dedicated banquet floor, which includes 11 customisable meeting rooms and the largest ballroom in Egypt, Excelsior Ballroom."
Sofitel Cairo Nile El Gezirah,4.5,"3,918",,,"3 El Thawra Council St Zamalek, Cairo Egypt","On the southern tip of Gezirah Island, the hotel is a corner of paradise in central Cairo, minutes from Cairo�s business districts. Discover a haven of peace during a vacation in Egypt, and a comfortable base to rest after a successful day of business. Relax by the pool, pamper yourself in Sofitel SPA, wine and dine in our international restaurants and bars. Surrender to luxury and come for a day, a weekend, a week�or more. A stroll along the hotel�s lush riverside promenade takes you to a host of acclaimed restaurants and bars. You can take your time, enjoying the cool shade of exotic palms and breathing in the scent of hibiscus. You�ll hear the gentle sound of water lapping as you rest on a Nile-side terrace with a cool drink, and dine on international cuisine. It�s especially beautiful at dusk, when the sun sets over Cairo�s skyline and vibrant nightlife. Escape the city for a day at our secluded Cairo hotel, which feels like an exclusive Egyptian resort set in lush gardens. Take advantage of Sofitel SPA and Sofitel FIT, float in an infinity pool overlooking the Nile, unwind in a bubbling whirlpool bath� whatever you desire. Day membership includes discounts to the restaurants and bars which line the Nile-side promenade, promising refreshment and fun for families, couples and friends."
Le Meridien Cairo Airport,4.5,"1,582","EGP�4,024",,"3 Cairo International Airport, Terminal Cairo International Airport, Terminal 3, Cairo 11511 Egypt","Your Gateway to Egypt's Discovery. Le M�ridien Cairo Airport offers 66 club floor rooms with a dedicated club lounge, 264 deluxe rooms, 9 studio suites, 9 panoramic deluxe suites and 1 presidential suite - all inside of Cairo's airport. All rooms and suites are fully soundproofed, smoke-free, and feature the Le M�ridien signature beds. The refined and modern design creates a perfectly relaxed experience. A combination of complimentary WIFI + cable connection coupled with the latest technology makes it easy to conduct business if necessary."
