name,ratings,prices,aminities,location,description,City
Lazib Inn Resort & Spa,4.5,,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Hiking,Horseback riding,Banquet room,Wifi,Hot bath,Infinity pool,Pool with view,Adult pool,Outdoor pool,Heated pool,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Outdoor dining area,Wine / champagne,Walking tours,Spa,Body wrap,Foot bath,Foot massage,Full body massage,Hammam,Massage,24-hour security,Concierge,Outdoor fireplace,Butler service,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Blackout curtains,Bathrobes,Air conditioning,Fireplace,Housekeeping,Coffee / tea maker,Flatscreen TV,Walk-in shower,Private balcony,Room service,Safe,Seating area,Telephone,Wardrobe / wardrobe,Bottled water,Clothes rack,Private bathrooms,Wake-up service / alarm clock,Minibar,Complimentary toiletries,Hair dryer,Landmark view,Pool view,Non-smoking rooms,Suites,Family rooms","Youssef El Sedeeq Center - Tunis Village, Al Fayyum 63522 Egypt","Lazib Inn Resort & Spa is located in the magical Tunis village, overlooking Qaroun Lake in Fayoum oasis. This royal countryside retreat reflects the marvelous nature of rustic beauty with exceptional personalized services. Lazib Inn Resort & Spa features 8 Oasis Suites; distinctively designed, each with a unique character, combine style, charm and exquisite attention to details.",Al-Fayyum
Helnan Auberge Hotel,3.0,"EGP 3,232","Paid private parking on-site,Free internet,Pool,Personal trainer,Free breakfast,Horseback riding,Billiards,Kids' outdoor play equipment,Wifi,Hot bath,Pool / beach towels,Outdoor pool,Sauna,Bar / lounge,Restaurant,Breakfast buffet,Wine / champagne,Evening entertainment,Meeting rooms,Spa,Full body massage,Hammam,Massage,Steam room,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,Sun terrace,24-hour front desk,Express check-in / check-out,Laundry service,Ironing service,Shoeshine,Air conditioning,Housekeeping,Room service,Safe,VIP room facilities,Bottled water,Refrigerator,Bridal suite,Suites,Family rooms","Karoun Lake, Al Fayyum Egypt",The old palace is a truly beautiful building and gardens with views out over the lake (and it’s shore covered in trash). The lobby has photos of Winston Churchill and others staying here. The air conditioning worked well and we both slept well. The room was clean but the bathroom desperately needs renovation. The hotel’s critical weakness is the dire quality of the buffet food for breakfast and dinner. The only highlight was the omelet station in the mornings. This hotel cannot thrive with western tourists until the food improves.,Al-Fayyum
Kom El Dikka Agri Lodge,4.5,,"Free parking,Free High Speed Internet (WiFi),Infinity pool,Free breakfast,Bicycle rental,Canoeing,Children's playground,Children Activities (Kid / Family Friendly),Secured parking,Wifi,Pool with view,Shallow end in pool,Poolside bar,Restaurant,Breakfast available,Complimentary Instant Coffee,Complimentary tea,Outdoor dining area,Hiking,Horseback riding,Bowling offsite,Fishing,Board games / puzzles,Kids' outdoor play equipment,Highchairs available,Strollers,Conference facilities,Banquet room,Meeting rooms,BBQ facilities,Baggage storage,Concierge,Gift shop,Outdoor fireplace,Outdoor furniture,Sun umbrellas,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Laundry service,Shoeshine,Blackout curtains,Air conditioning,Fireplace,Housekeeping,Kitchenette,Cable / satellite TV,Sofa bed,Walk-in shower,Private balcony,Room service,Safe,Separate living room,Private bathrooms,Microwave,Refrigerator,Flatscreen TV,Bath / shower,Hair dryer,Mountain view,Pool view,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Tunis village Qarun Lake, Youssef El Sedeek, Fayoum, Al Fayyum 32554 Egypt","A 45-acre Olive Farm located on the hills of Tunis Village in Fayoum overlooking Lake Qarun. Fayoum is a beautiful and diverse part of Egypt, and can be best-enjoyed & travelled while based in the Village of Tunis. Kom el Dikka is a 30 year old privately owned Olive Farm, which has been recently developed into an Agri-Tourism Lodge. Several years ago, the farm added Vegetable & Fruit Organic Agriculture to its program to accommodate for the family's' and relatives needs, and has since expanded to include selling Certified organic products to Tunis Village and Cairo residence. Kom el Dikka accommodates guests in a few secluded locations on the hills of the estate overlooking Lake Qarun. All architecture is in Earth/Islamic design, which is both beautiful and functional, especially in managing hot and dry weather. Making it feel warmer in winter and cooler in summer than the outside temperature. Within the 45 acre estate of Kom el Dikka, and further around Tunis Village; you will find many different and interesting activities for you and even more for kids such as: Fruit & Vegetable Picking, Horseback riding, Bird watching, Petting Zoo, Hiking, Jogging, Sailing, Fishing, Duck Migration, Baking Bread, Pottery schools, Arts & Crafts, learning to plant, BMX Track, Mountain bike riding, Sports, and Boat rides in the lake.",Al-Fayyum
Byoum Lakeside Hotel,4.0,,"Free parking,Free internet,Pool,Free breakfast,Beach,Children Activities (Kid / Family Friendly),Meeting rooms,Concierge,Internet,Outdoor pool,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Laundry service,Air conditioning,Room service,Safe,Kitchenette,Minibar,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Qarun Lake Touristic Road, Al Fayyum Egypt","On the tranquil side of Qarun lake in Fayoum – the oldest city in Egypt, the new 4 Star Byoum Lakeside Hotel has opened it's doors in September 2016. A fertile depression in Egypt's Western Desert, some 130 kilometers southwest of Cairo, Fayoum is both rich in history and outstanding in natural beauty. Byoum Lakeside Hotel is the ideal gateway resort for families wanting to relax by the swimming pool, discover the National Park or visit Fayoum city and its famous watermills. A beautiful and peaceful hotel where all rooms are facing the Qarun Lake, enjoying the greenery and bird watching from the terrace. Hotel rooms range from Classic rooms, Suites and large 2 bedrooms Grand Suites.",Al-Fayyum
Tache Fayoum,5.0,,,"Qarun Lake Touristic Road, Al Fayyum 63511 Egypt",قبل اي حاجه جزيل الشكر ل: استاذ/ محمد علي كامل- مدير المكان 01000776694 و استاذ/ محمود صالح - المسؤول عن الفندق 01098807700 و الشيف محمد و الأساتذة المحترمين الحلوين اللي ماسكين الفندق..  اللي عرفتوا انه كان بيت احمد ماهر باشا.. و فعلا المكان اكثر من رائع.. هدوء و راحه و استجمام.... اضافة لجمال الطبيعه.... و المنظر على بحيرة قارون...  المواعيد من ٧ صباحا ل ١٢ مساء الفطار فول و جبنه و طماطم و جبنه قديمه و عسل اسود و عسل نحل وطعمية و بيض على مزاجك  اما الفطير المشلتت غرقان سمنه تاكل منه و تدوب في حلاوته.. حاجه تحفه الغدا... اي حاجه عايزها موجوده... بس الفيوم يعني الطيور... البط و الحمام و الفراخ الشامورط و الخضار الطازه و الرز المفلفل و الملوخيه طعم تاني فعلا.. حمام السباحه نظيف و الحمامات و الشاور موجودين ولو عايز اوضه براحتك متواجد حسب اللي عايزينوا... كنت اتمنى اني ابات هناك....بس تتعوض المره الجايه لان اكيد في مره تانيه ان شاء الله... الف لشكر لناس منعرفهاش خلونا نقضي يوم حنتكلم عنه كتيررررررر…,Al-Fayyum
New Panorama Shakshouk Hotel,3.0,"EGP 1,107","Restaurant,Children Activities (Kid / Family Friendly)","Bouhairet Qaroun Rd., Al Fayyum 63761 Egypt",its clean..the room is spacious..the staff is friendly..its too quite for me but good for relaxing..hihi..a bit far from town... its not that bad..it just need a bit of renovation n fixing and maintain properly..overall im satisfied..,Al-Fayyum
Sobek Lodge,3.5,,"Free parking,Restaurant","Qaroun, Ibsheway, Faiyum Governorate, Egypt, Al Fayyum 00000 Egypt","We spent 2 nights at Sobek Lodge and were generally very happy with our time there. We had an enormous room with4 beds in it and everything was clean and comfortable. We struggled to get hot water in the bathroom, but this seems a common problem in Egypt. The hotel has attractive gardens with plenty of seating areas and a nice pool. There are several friendly cats and dogs who are willing to share the plentiful, tasty meals with visitors, but are in no way a nuisance. Situated right in the heart of Tunis village, there is easy access to local artisan workshops, ATMs and supermarkets.",Al-Fayyum
Zad El Mosafer Ecolodge,3.0,"EGP 1,152","Free parking,Outdoor pool,Restaurant","Tunis Village, Al Fayyum 11115 Egypt","This is the second year that me and my family ( 18 members) try their restaurant and I totally regret giving them a second chance. We ordered ducks and pigeons. The order took an hour and 20 minutes. You’d think it was worth the wait, nope. The duck was tasteless and very hard to chew, while the pigeons were a total disaster. They were barely cooked and each one was still bloody. Imagine my feeling when trying to reach the stuffed rice only to find the blood. Simply disgusting, I stopped myself from vomiting. We paid 2800 for this raw crap. Sorry Zad El Mosafer you’ve wasted ALL your Chances. NEVER AGAIN.",Al-Fayyum
Queen Hotel,5.0,,",Wifi",,"I accomoudate at queen El fayoum hotel ,This hotel that totally makes your soul relax , makes you get rid of all negative energy inside you , really made me feel inner peace and  improve my mood ,really once i need to recharge my energy I will return back to queen El fayoum hotel ❤️♥️",Al-Fayyum
Mangrove Camp Fayoum,5.0,"EGP 1,351",,"Qarun Lake Touristic Road, Al Fayyum Egypt","Mangrove Camp is the ideal place to stay. There is a wide variety of awesome activities and the team organizes everything taking care of every detail. A list of some visits, Lake Qarun, waterfalls at Wadi El-Rayan the collection of Roman-era mummy portraits and statues in the Fayoum Museum, closing with a diner at our camping before returning to the city Sincere thanks to the team for the incredible warmth and hospitality. Looking forward to coming back soon. So nice to meet you all!!",Al-Fayyum
