name,ratings,prices,aminities,location,description,City
Hyatt Regency Cairo West,5.0,"EGP 5,932","Smoking rooms available,Suites,Non-smoking rooms,Pool view,Private bathrooms,Iron,Wardrobe / wardrobe,Telephone,Electric kettle,Safe,Room service,Interconnected rooms available,Housekeeping,Air conditioning,Soundproof rooms,Allergy-free room,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,Doorperson,ATM on site,Shared lounge / TV area,Currency exchange,Concierge,Baggage storage,24-hour security,Massage,Spa,Meeting rooms,Banquet room,Airport transportation,Kids pool,Kids club,Children Activities (Kid / Family Friendly),Indoor play area for children,Wine / champagne,Outdoor dining area,Complimentary Instant Coffee,Breakfast buffet,Breakfast available,Restaurant,Sauna,Babysitting,Kids stay free,Billiards,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,","KM 22 Cairo-Alexandria Desert RD Pyramids Heights Business Park, Giza 8655 Egypt","Perfect hotel, Lovely place, Healthy food. #1 hotel for me  Pool with heated water  Huge room in terms of space Hygiene and very clean Variety on everything food, drink, music  Really from my side, it’s hotel # 1 on Giza region ",Giza
Great Pyramid INN,4.5,,"Smoking rooms available,Family rooms,Non-smoking rooms,Bridal suite,City view,Mountain view,Hair dryer,Complimentary toiletries,Bath / shower,Sofa bed,Radio,Flatscreen TV,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Clothes rack,Bottled water,Wardrobe / wardrobe,Telephone,Sofa,Seating area,Safe,Room service,Private balcony,Housekeeping,Soundproof rooms,Walk-in shower,Extra long beds,Cable / satellite TV,Electric kettle,Dining area,Air conditioning,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Washing machine,Laundry service,Private check-in / check-out,Express check-in / check-out,24-hour front desk,First aid kit,Sun terrace,Shops,Outdoor furniture,Currency exchange,Concierge,Baggage storage,24-hour security,Taxi service,Car hire,Walking tours,Special diet menus,Snack bar,Outdoor dining area,Kids' meals,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast available,Restaurant,Wifi,Rooftop terrace,Photo copier / fax In business centre,Airport transportation,Evening entertainment,Horseback riding,Free breakfast,Free High Speed Internet (WiFi),Street parking,","14 Abou Al Hool Street, Giza Egypt","The Great Pyramid Inn Amidst in the first line opposite the Great Pyramids of Giza and Sphinx. The hotel located just a couple of more minutes walking distance from these wonders entrance gate, 30 minutes away driving from Saqqara Pyramid and the Egyptian Museum. Seek after secret gates of the ancient world through pharonic decorations in the hotel corridors, discover our unparalleled view of the pyramids while enjoying the magnificent sunrise or sunset plus free sound and light show from terrace restaurant and explore a new exceptional journey through history where Egyptian heritage meets luxurious European hospitality. It is the idyllic hideaway for sightseeing and relaxation. Kindly be informed that we provide free pick up service from the airport but only if you have two days reservation at least.",Giza
Hyatt Regency Cairo West,5.0,"EGP 5,932","Smoking rooms available,Suites,Non-smoking rooms,Pool view,Private bathrooms,Iron,Wardrobe / wardrobe,Telephone,Electric kettle,Safe,Room service,Interconnected rooms available,Housekeeping,Air conditioning,Soundproof rooms,Allergy-free room,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,Doorperson,ATM on site,Shared lounge / TV area,Currency exchange,Concierge,Baggage storage,24-hour security,Massage,Spa,Meeting rooms,Banquet room,Airport transportation,Kids pool,Kids club,Children Activities (Kid / Family Friendly),Indoor play area for children,Wine / champagne,Outdoor dining area,Complimentary Instant Coffee,Breakfast buffet,Breakfast available,Restaurant,Sauna,Babysitting,Kids stay free,Billiards,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,","KM 22 Cairo-Alexandria Desert RD Pyramids Heights Business Park, Giza 8655 Egypt","Perfect hotel, Lovely place, Healthy food. #1 hotel for me  Pool with heated water  Huge room in terms of space Hygiene and very clean Variety on everything food, drink, music  Really from my side, it’s hotel # 1 on Giza region ",Giza
Best View Pyramids Hotel,4.5,"EGP 1,537","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Hair dryer,Complimentary toiletries,Sofa bed,Refrigerator,Microwave,Dishwasher,Telephone,Seating area,Safe,Bath / shower,Extra long beds,Flatscreen TV,Coffee / tea maker,Room service,Private balcony,Housekeeping,Air conditioning,Shoeshine,Ironing service,Washing machine,Laundry service,Dry cleaning,Clothes dryer,Private check-in / check-out,24-hour front desk,24-hour check-in,Doorperson,Sun terrace,Currency exchange,Concierge,Baggage storage,24-hour security,Car hire,Shuttle bus service,Airport transportation,Rooftop bar,Restaurant,Bar / lounge,Wifi,Rooftop terrace,Hot spring bath,Free airport transportation,Children Activities (Kid / Family Friendly),Bicycles available,Free breakfast,Free High Speed Internet (WiFi),Free parking,","13 Gamal Abd Nasser Street, Giza 12561 Egypt","Best View Pyramids Hotel is an excellent choice for travellers visiting Giza, offering a romantic environment alongside many helpful amenities designed to enhance your stay.You’ll enjoy relaxing rooms that offer a flat screen TV, a refrigerator, and air conditioning, and you can stay connected during your stay as Best View Pyramids Hotel offers guests free wifi.The hotel features a rooftop terrace and room service. Plus, Best View Pyramids Hotel offers free breakfast, providing a pleasant respite from your busy day. For guests with a vehicle, free parking is available.If you like shawarma, Best View Pyramids Hotel is conveniently located near Felfela, which is known for serving up this local favourite.If you’re looking for something to do, Pyramids of Giza (0.6 mi), Great Pyramid of Cheops (Khufu) (0.6 mi), and Great Sphinx (0.3 mi) are a nice way to spend some time, and they are all within walking distance of Best View Pyramids Hotel.Enjoy your stay in Giza!",Giza
Steigenberger Pyramids Cairo,4.5,"EGP 21,437","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Pool view,Hair dryer,Complimentary toiletries,Bath / shower,Walk-in shower,Flatscreen TV,Electric kettle,Private bathrooms,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Seating area,Safe,Room service,Private balcony,Bidet,Cable / satellite TV,Minibar,Housekeeping,Desk,Air conditioning,Bathrobes,Blackout curtains,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,Doorperson,Concierge,24-hour security,Spa,Meeting rooms,Banquet room,Car hire,Poolside bar,Outdoor dining area,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast buffet,Breakfast available,Restaurant,Bar / lounge,Outdoor pool,Wifi,Secured parking,Conference facilities,Business Centre with Internet Access,Airport transportation,Children Activities (Kid / Family Friendly),Free breakfast,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,","Alexandria Road Pyramids, Giza 11511 Egypt","Footsteps away from the Great Pyramids of Giza, the Steigenberger Pyramids Cairo is where the glamorous history of Egypt and its world famous hospitality meet. The hotel is the perfect starting point for sightseeing, relaxation and business meetings alike, featuring elegantly appointed rooms and suites, two swimming pools and a variety of bars and restaurant",Giza
Safir Hotel Cairo,4.5,"EGP 6,304","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Flatscreen TV,Minibar,Bottled water,VIP room facilities,Safe,Room service,Private balcony,Air conditioning,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,ATM on site,Shops,Newspaper,Gift shop,Currency exchange,Concierge,Baggage storage,BBQ facilities,24-hour security,Steam room,Salon,Massage,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Kids' meals,Kid-friendly buffet,Breakfast in the room,Breakfast buffet,Restaurant,Coffee shop,Bar / lounge,Sauna,Fitness / spa changing rooms,Outdoor pool,Pool / beach towels,Hot bath,Wifi,Airport transportation,Kids stay free,Evening entertainment,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid public parking nearby,","El Missaha Square, Giza Egypt","Finding an ideal hotel in Giza does not have to be difficult. Welcome to Safir Hotel Cairo, a nice option for travellers like you.For those interested in checking out Pharaonic Village (2.6 mi) while visiting Giza, Safir Hotel Cairo is a short distance away.You’ll enjoy relaxing rooms that offer a flat screen TV, a minibar, and air conditioning, and you can stay connected during your stay as Safir Hotel Cairo offers guests free wifi.The hotel features 24 hour front desk, room service, and a concierge. Plus, Safir Hotel Cairo offers a pool and free breakfast, providing a pleasant respite from your busy day. For guests with a vehicle, there is paid public parking available nearby.If you’re looking for a Mexican restaurant, consider a visit to Vinni Cafe & Deli, which is not far from Safir Hotel Cairo.Giza is also home to Great Sphinx, a popular  that is not too far from Safir Hotel Cairo.Safir Hotel Cairo looks forward to welcoming you on your visit to Giza.",Giza
Pyramids View Inn,4.5,EGP 808,"Family rooms,Suites,Non-smoking rooms,Landmark view,Hair dryer,Complimentary toiletries,Electric kettle,Refrigerator,Wake-up service / alarm clock,Private bathrooms,Clothes rack,Bottled water,Safe,Bath / shower,Cable / satellite TV,Coffee / tea maker,Room service,Private balcony,Housekeeping,Air conditioning,Blackout curtains,Laundry service,24-hour front desk,Umbrella,First aid kit,Sun terrace,Gift shop,Concierge,Baggage storage,Taxi service,Airport transportation,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast available,Rooftop bar,Coffee shop,Wifi,Street parking,24-hour check-in,24-hour security,Rooftop terrace,Free airport transportation,Walking tours,Free breakfast,Free High Speed Internet (WiFi),Free public parking nearby,","10 sphinx streets, pyramids Giza Front of Sphinx Entrance Gate, Next to KFC and Pizza Hut. At the Sound & Light Show Square, Giza 1212 Egypt","with free airport transfer . at the historical area of the pyramids of Giza The Only Hotel with Balcony Facing the 3 pyramids and The Great sphinx , pyramids , Giza,the nearest location to the pyramids of Giza,only 300 feet from The pyramids and front of The entrance Gate and Roof top sitting With The Best View ,All rooms with air condition and (hot & cold water), living room with American kitchen and balcony overlooking the Sphinx. The rooms, furnished with an elegant and luxurious wooden ceilings and marble floors, offer the most modern standards. Each room has quality fittings, air conditioning, TV color satellite, ISDN fast internet connection, direct dial telephone. All rooms are equipped with emergency lighting.",Giza
"Marriott Mena House, Cairo",4.5,"EGP 17,621","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,Landmark view,Hair dryer,Flatscreen TV,Electric kettle,Refrigerator,Minibar,Wake-up service / alarm clock,Private bathrooms,Iron,Clothes rack,Bottled water,VIP room facilities,Telephone,Safe,Room service,Private balcony,Bath / shower,Cable / satellite TV,Coffee / tea maker,Housekeeping,Desk,Air conditioning,Bathrobes,Blackout curtains,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,Doorperson,Butler service,ATM on site,Shops,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Massage,Foot bath,Facial treatments,Couples massage,Body wrap,Spa,Meeting rooms,Banquet room,Taxi service,Poolside bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness / spa changing rooms,Heated pool,Outdoor pool,Pool / beach towels,Hot bath,Public wifi,Conference facilities,Car hire,Walking tours,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free internet,Valet parking,","6 Pyramids Road, Giza 12556 Egypt","Marriott Mena House, Cairo comprises 331 luxury rooms and suites, many boasting views of the Pyramids, the lavish gardens or the swimming pool, four restaurants and lounges, expansive indoor and outdoor meetings and banquet facilities, a heated swimming pool and a health club. Discover our unparalleled and unique hotel in Cairo, Egypt.",Giza
Four Seasons Hotel Cairo at the First Residence,4.5,"EGP 11,102","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Flatscreen TV,Minibar,Iron,Safe,Room service,Private balcony,Air conditioning,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Butler service,Shops,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Facial treatments,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Airport transportation,Poolside bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness / spa changing rooms,Heated pool,Outdoor pool,Pool / beach towels,Wifi,Babysitting,Kids stay free,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Parking,","35 Giza Street, Giza 12311 Egypt","Stay in the heart of Cairo, with breathtaking views to enchant you and ancient zoological and botanical gardens just outside your door. At our luxury boutique hotel, enjoy an array of authentic fine dining outlets, lavish spa and opulent meeting spaces, an adjacent designer mall and a casino. Just minutes away from the hotel enjoy the best of the city's arts, culture and shopping areas.",Giza
Barcelo Cairo Pyramids,4.0,"EGP 2,712","Family rooms,Suites,Non-smoking rooms,Flatscreen TV,Minibar,Safe,Room service,Housekeeping,Air conditioning,Ironing service,Self-serve laundry,Laundry service,Dry cleaning,24-hour front desk,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Massage,Spa,Meeting rooms,Banquet room,Rooftop bar,Poolside bar,Breakfast in the room,Breakfast buffet,Restaurant,Bar / lounge,Sauna,Outdoor pool,Rooftop pool,Paid wifi,Parking,Conference facilities,Business Centre with Internet Access,Taxi service,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Wifi,Free parking,","229 Al Haram Street, Giza 12111 Egypt","Just off Sharia Al Haram avenue, this upscale hotel is 6 km from Giza metro station and 8 km from the Giza Plateau, home to the royal pyramids and the Great Sphinx. Elegant rooms come with free Wi-Fi, satellite TV and safes. Upgrades add views of the pyramids, while suites include lounges and kitchenettes. Room service is available. There are 3 modern restaurants; 1 serves Italian fare and another has a terrace with panoramic views. Other amenities include a 24-hour bar, as well as a shisha bar next to the heated outdoor pool. There's also a gym, along with a sauna and a spa where massages are available. Parking is free.",Giza
