name,ratings,prices,aminities,location,description
Steigenberger Nile Palace Luxor Hotel,4.5,"EGP 4,599",",Free internet,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Boating,Table tennis,Books, DVDs, music for children,Children's television networks,Wifi,Pool / beach towels,Pool with view,Outdoor pool,Fitness / spa changing rooms,Fitness classes,Sauna,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Wine / champagne,Poolside bar,Kids club,Kids pool,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Body wrap,Facial treatments,Full body massage,Hammam,Hand massage,Head massage,Makeup services,Manicure,Massage,Neck massage,Pedicure,Salon,Steam room,Waxing services,24-hour security,Baggage storage,Concierge,Convenience store,Currency exchange,Executive lounge access,Gift shop,Outdoor furniture,Shared lounge / TV area,Shops,Sun umbrellas,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Minibar,Cable / satellite TV,Bidet,Private balcony,Room service,Safe,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Private bathrooms,Wake-up service / alarm clock,Electric kettle,Flatscreen TV,Radio,Bath / shower,Complimentary toiletries,Hair dryer,City view,Landmark view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Khaled Ben El Walid Street, Luxor 85111 Egypt","The 5-star Steigenberger Nile Palace is situated in the heart of Luxor and provides modern accommodation with stunning views of the Nile. The spacious rooms are air-conditioned and feature satellite TV. Most rooms have a balcony and all are filled with natural light. Nile Palace Luxor Hotel is conveniently located within a short walk of Luxor's large shopping district. Guests can make use of the fitness center, sauna, and massage. Luxor Temple is 1 km away. Nile Palace Luxor offers a wide choice of restaurants, serving Lebanese, Italian, Fine Dining and international cuisine. Guests can make use of the fitness center and sauna. The hotel also offers a 24-hour front desk and the in house Travel Desk can help organize local tours. The East Bank is a great choice for travelers interested in temples, museums and history."
Sonesta St. George Hotel Luxor,4.5,"EGP 3,526",",Wifi,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Evening entertainment,Car hire,Business Centre with Internet Access,Conference facilities,Paid wifi,Pool / beach towels,Outdoor pool,Fitness / spa changing rooms,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Swimup bar,Poolside bar,Taxi service,Banquet room,Meeting rooms,Spa,Massage,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Gift shop,Shops,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Private balcony,Room service,Safe,Minibar,Refrigerator,Flatscreen TV,VIP room facilities,Electric kettle,Bridal suite,Non-smoking rooms,Suites,Smoking rooms available","Corniche El Nile Street, Luxor Egypt","Five-star grandeur on the banks of the Nile awaits at the Sonesta St. George Hotel Luxor. In a city of ancient Pharaonic treasures, this 322-room Luxor, Egypt hotel redefines luxury in a contemporary style. Only minutes from the world-renowned historic sites, the hotel is an ideal setting. After touring, guests relax in the hotel's Key of Life Health Club. WE are currently initiating a cosmetic renovation for the hotel GYM & Spa facilities whereas; spa & gym facilities will be out of operation as of now until early June 2022 Dine in one of its restaurants or soak in the pool as they overlook the Nile. Free Wifi in the lobby . Also a happy hour every evening at Nobles Bar with a 15% discount from 7.00 pm to 8.00 pm"
Hilton Luxor Resort & Spa,5.0,"EGP 4,457",",Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Babysitting,Highchairs available,Free shuttle or taxi services,Valet parking,Wifi,Hot bath,Pool / beach towels,Infinity pool,Pool with view,Outdoor pool,Heated pool,Yoga classes,Fitness / spa changing rooms,Fitness classes,Personal trainer,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Happy hour,Outdoor dining area,Special diet menus,Swimup bar,Poolside bar,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Body wrap,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hand massage,Head massage,Manicure,Massage,Neck massage,Pedicure,Salon,Steam room,Waxing services,24-hour security,Baggage storage,Concierge,Currency exchange,Gift shop,Newspaper,Shops,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Housekeeping,Interconnected rooms available,Minibar,Flatscreen TV,Walk-in shower,Bathrobes,Private balcony,Room service,Safe,Telephone,VIP room facilities,Iron,Wake-up service / alarm clock,Electric kettle,Pool view,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","New Karnak, Luxor Egypt","If you desire to visit Luxor, you will find Hilton Luxor Resort & Spa the ideal base from which to explore the rich and ancient culture of the Nile Valley. Situated on the east bank, you can enjoy glorious, unobstructed views of the river Nile from our unique, water's edge location, with the largest waterfront on the Nile. Luxor is the site of ancient Thebes, and has a legendary reputation as the world’s finest open air museum, with an unparalleled range of historic monuments. The Temple of Karnak and Valley of Kings are on our doorstep. Our newly renovated resort & spa offers the ultimate in luxury, unparalleled in Luxor. Lounge in one of our five stylish bars, perhaps smoking a shisha pipe while gazing at the Nile. Sample the finest in Egyptian, Eastern and international cuisine in one of our three restaurants Rosetta, Olives and Silk road. Hilton Luxor boasts a World Class Spa covering an area of 1,150 m², including a beautiful garden, a 160 m2 Spa Infinity Pool, and 12 individual treatment rooms. Our palatial Karnak ballroom is the most contemporary and cutting-edge Nile Valley venue for corporate events and celebrations.You will find the attention to service as immaculate as the hotel’s contemporary Arabic design, At Hilton Luxor our highly trained and dedicated staff will make you feel like a Pharaoh during your Egypt holiday."
Steigenberger Resort Achti,4.0,"EGP 4,554",",Free parking,Free internet,Pool,Fitness / spa changing rooms,Bar / lounge,Evening entertainment,Car hire,Banquet room,Wifi,Pool / beach towels,Pool with view,Outdoor pool,Heated pool,Restaurant,Breakfast available,Breakfast buffet,Kids' meals,Special diet menus,Poolside bar,Taxi service,Meeting rooms,Salon,24-hour security,Baggage storage,Concierge,Gift shop,Shops,Sun terrace,Sun umbrellas,ATM on site,24-hour check-in,24-hour front desk,Laundry service,Ironing service,Blackout curtains,Air conditioning,Desk,Housekeeping,Private balcony,Minibar,Flatscreen TV,Bath / shower,Room service,Safe,Telephone,Bottled water,Laptop safe,Private bathrooms,Tile / marble floor,Electric kettle,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Khaled Ibn El Waleed Street Awameya, Luxor 83951 Egypt","Discover the city of the 100 gates. Steigenberger Resort Achti offers the best panoramic views of the Nile and Luxor. The hotel is located in a quiet and secluded, 1.2-hectare tropical garden in the heart of Luxor on the east bank of the Nile. It is just 11 km to the airport and a few minutes to the city center. It is the ideal base from which to explore the Nile and the surrounding countryside. Explore the Valley of the Kings, float over the city on a hot-air balloon, or take a felucca ride on the Nile to discover the ancient ruins. Enjoy every moment of your day at the Steigenberger Resort Achti Resort"
"Jolie Ville Hotel & Spa - Kings Island, Luxor",4.5,"EGP 3,053",",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Tennis court,Fishing,Kids club,Wifi,Pool / beach towels,Infinity pool,Adult pool,Outdoor pool,Heated pool,Fitness / spa changing rooms,Sauna,Restaurant,Swimup bar,Breakfast available,Breakfast buffet,Poolside bar,Table tennis,Free shuttle or taxi services,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Head massage,Massage,Salon,24-hour security,Baggage storage,Concierge,Currency exchange,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Private balcony,Room service,Safe,Minibar,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","Awameya Road Kings Island, Luxor 85834 Egypt","Nestled upon the private ""Kings Island"" in the Nile that covers 660,000 sqm, the resort truly is an oasis of peace and tranquility. The idyllic, landscaped hotel grounds are expansive and home to the two main buildings, bungalows and three enticing swimming pool areas. The historic sights of Luxor, located only 4 kilometres from the hotel, can be easily reached by complimentary shuttle buses. The island is connected to the mainland only by a bridge and is virtually free of charge. This makes the resort an ideal location for families with children. The resort has been renovated in 2010 and extended by 320 rooms and suites in 10 elegant bungalows, new restaurants, a pool of 2,800 sqm in size and a SPA with fitness centre (from early-sommer 2011)."
Pyramisa Hotel Luxor,3.5,"EGP 1,033",",Free High Speed Internet (WiFi),Pool,Free breakfast,Banquet room,Meeting rooms,24-hour check-in,24-hour front desk,Dry cleaning,Wifi,Outdoor pool,Bar / lounge,Restaurant,Breakfast buffet,Poolside bar,Express check-in / check-out,Laundry service,Blackout curtains,Air conditioning,Desk,Housekeeping,Private balcony,Electric kettle,Flatscreen TV,Hair dryer,Room service,Safe,Telephone,Bottled water,Pool view,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Khaled Ibn El Walid St, Luxor Egypt","The biggest 4 star hotel directly on the Nile in the heart of Luxor. Most of the large 350 rooms and 100 family suites enjoy panoramic views of the Nile, gardens and 2 large swimming pools. In addition to a heated swimming-pool, resort facilities include Italian, Chinese and oriental restaurants, bar, lounge, children playground and a gym."
Mara House,4.5,"EGP 1,685",",Free parking,Free High Speed Internet (WiFi),Wifi,Free breakfast,Airport transportation,Rooftop terrace,Concierge,Laundry service,Non-smoking hotel,Air conditioning,Private balcony,Safe,Minibar,Non-smoking rooms,Suites,Family rooms","Salah Al Din Al Ayoubi, Luxor Egypt","Mara House is an Irish owned, unique, private hotel catering to the tastes of discerning travelers who want to be sure they experience the best of Egypt. I help my guests with itinerary planning for all of Egypt, will steer you clear of tourist traps and ensure you have a relaxing stay. I know the importance of holidays with family and friends. The number 1 priority of everyone who works with me is that you have the best possible Egyptian experience. - Mara"
Venus Hostel,5.0,"EGP 1,060",",Free High Speed Internet (WiFi),Free breakfast,Entertainment staff,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Rooftop terrace,24-hour security,24-hour check-in,Wifi,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Special diet menus,Rooftop bar,Shuttle bus service,Taxi service,Baggage storage,Concierge,Outdoor furniture,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Private balcony,Room service,Safe,Bath / shower,Non-smoking rooms,Family rooms","Intersection Youssef Hassan Street, Luxor 095 Egypt","Venus Hotel is very well located near to the bus or train stations and the pharaohs' temples. We have single, double, triple rooms with private bathrooms and hot water, balcony, AC and fan, free room service 24 hours. Also the breakfast is included in the price of the room - you can take it in the restaurant or in the roof top garden, you can use the laundry machine for free or pay a little for the service, we have in the reception the information desk where you can get in all the languages maps, cards and the guide of all the trips and tours in Egypt. You can enjoy in the fun corner the books, magazines, the games, learn Arabic, listen to music or smoke shisha. B"
Iberotel Luxor,4.0,"EGP 1,860",",Free internet,Outdoor pool,Bar / lounge,Airport transportation,Business Centre with Internet Access,Banquet room,Baggage storage,Concierge,Public wifi,Paid internet,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Swimup bar,Poolside bar,Taxi service,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Private balcony,Room service,Safe,Telephone,Minibar,Cable / satellite TV,VIP room facilities,Wake-up service / alarm clock,Non-smoking rooms","Khaled Ibn El Walid Street, Luxor Egypt","Iberotel Luxor has an excellent location direclty overlooking the banks of the Nile & is ideal for romantic getaways, honeymoons or those fascinated by the marvels and mysteries of ancient Egypt. Centrally located in Luxor, it's just ten minutes walking from the Temple of Luxor. This four-star property offers spectacular views of the river, the west bank & the distant hills of Thebes from its rooms & from the verdant garden terrace. Near the hotel, the ferry crossing to the west bank will allow you to visit the Valley of the Kings, Valley of the Queens, Hatshepsut Temple and the Memnon Colossus while the Temple of Karnak is just three km away. The hotel is the winner of Tripadvisor Certificate of Excellence for 2012 & 2011, the winner of E-cristal certificate for 2012,Iso -14001 for 2012, Travelife Gold Award winner for 2011 & 2010 & the Cristal Certificate of Excellence 2010."
Amon Hotel Luxor,4.5,"EGP 1,058",",Free parking,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Airport transportation,Meeting rooms,Full body massage,BBQ facilities,Street parking,Wifi,Restaurant,Car hire,Massage,Neck massage,Salon,Baggage storage,Concierge,Currency exchange,Outdoor fireplace,Outdoor furniture,Sun terrace,24-hour front desk,Laundry service,Ironing service,Air conditioning,Desk,Housekeeping,Private balcony,Room service,Safe,Bath / shower,Hair dryer,Clothes rack,Wake-up service / alarm clock,Non-smoking rooms,Family rooms","Al-Bairat El-Gezirat, West Bank, Luxor 12345 Egypt","The hotel with the informal atmosphere, where international guests will feel comfortable for weeks! The hotel is on the West Bank of Luxor, overlooking the mountains of the desert to one side and the East Bank of the Nile on the other. It is a five minute walk to the ferry and the smaller taxi boats for a five minute crossing of the Nile River. The hotel sits quietly in the middle of the village of Al Bairat with its small shops, stables, rural village life and nearby fields; near the tombs and the temples of the West Bank. Almost all of the 17 rooms are equipped with bathroom, shower and air-conditioning and have large balconies with furniture that are ideal for a relaxing time overlooking the garden or street. On the roof terraces you can enjoy the sunset and sunrise, relax or sunbathe on the deck chairs. The beautiful garden of wonder. The marvelous lotus pond, the twin fountains and rich variety of tropical plants are an invitation for enjoying breakfast or to relax after a day of sightseeing."
