name,ratings,prices,aminities,location,description
Dreams Beach Resort Sharm El Sheikh,4.0,"EGP 2,356",",Free internet,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Beach,Tennis court,Babysitting,Children Activities (Kid / Family Friendly),Paid internet,Internet,Adult pool,Outdoor pool,Restaurant,Breakfast buffet,Poolside bar,Entertainment staff,Evening entertainment,Table tennis,Nightclub / DJ,Kids club,Shuttle bus service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Concierge,Shops,Sun umbrellas,Dry cleaning,Laundry service,Air conditioning,Private beach,Private balcony,Room service,Safe,Flatscreen TV,Ocean view,Non-smoking rooms,Suites,Family rooms","Um El Sid Cliff, Sharm El Sheikh Egypt","Dreams Beach Resort is an excellent choice for travellers visiting Sharm El Sheikh, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.Close to some of Sharm El Sheikh's most popular landmarks, such as The Heavenly Cathedral (1.7 mi) and Al Mustafa Mosque (1.8 mi), Dreams Beach Egypt is a great destination for tourists.Guest rooms offer amenities such as a flat screen TV and air conditioning, and guests can go online with free internet access offered by the resort.Dreams Beach Resort features a concierge and room service, to help make your stay more enjoyable. The property also boasts a pool and a poolside bar.While visiting Sharm El Sheikh, you may want to try some shrimp at one of the nearby restaurants, such as Fares Seafood, Little Buddha, or Fares Seafood - IL Mercato.Enjoy your stay in Sharm El Sheikh!"
Savoy Sharm El Sheikh,4.5,"EGP 2,634",",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Diving,Kids stay free,Parking,Wifi,Paid wifi,Hot bath,Pool / beach towels,Infinity pool,Outdoor pool,Heated pool,Private pool,Fitness / spa changing rooms,Fitness classes,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Kid-friendly buffet,Swimup bar,Poolside bar,Rooftop bar,Tennis court,Aerobics,Entertainment staff,Evening entertainment,Nightclub / DJ,Babysitting,Indoor play area for children,Children Activities (Kid / Family Friendly),Kids club,Kids' outdoor play equipment,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Couples massage,Facial treatments,Foot massage,Hammam,Head massage,Massage,Salon,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Currency exchange,Shops,Sun loungers / beach chairs,Sun umbrellas,Butler service,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Air conditioning,Private beach,Housekeeping,Interconnected rooms available,Minibar,Refrigerator,Flatscreen TV,Private balcony,Room service,Safe,VIP room facilities,Ocean view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Soho Square, Sharm El Sheikh Egypt","Savoy Sharm El Sheikh is located near Ras Mohammed National Park inside SOHO SQUARE, the 5-star hotel offers 136 sea view rooms, 55 pool view rooms, 161 garden view rooms, 46 triple rooms, 2 special care rooms, 13 diplomatic suites, and 1 presidential suite. The hotel also features a private beach, 5 swimming pools 3 adult pools (2 heated in winter time) and 2 children's pools (1 heated in winter time) , 5 Bars (1 pool Bar) , and 6 restaurants Savoy hotel offers different types of meal plans that ensures you trying everything starting from the hotel’s main restaurant to Soho Square different restaurants and cuisines; standard Bed and breakfast, half board, full board, S-Class (ultra all-inclusive concept) , and half and full board dine around option (which SOHO Square restaurants as well) Diving or at least snorkeling with a PADI approved dive school on the beach. In the hotel we can find tennis, squash and beach volleyball courts as well as a modern gym facility . Sauna and Jacuzzis, as well as a range of beauty and spa treatments. Each room features adjustable air conditioning, WiFi access, mini-bar, en suite bathroom and hairdryer, and a private terrace overlooking our gardens , pools, or the beach."
Rixos Premium Seagate,5.0,"EGP 19,913",",Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Beach,Diving,Kids stay free,Parking,Public wifi,Hot bath,Pool / beach towels,Infinity pool,Adult pool,Indoor pool,Outdoor pool,Heated pool,Private pool,Fitness / spa changing rooms,Fitness classes,Sauna,Restaurant,Complimentary welcome drink,Outdoor dining area,Wine / champagne,Swimup bar,Poolside bar,Tennis court,Aerobics,Entertainment staff,Evening entertainment,Table tennis,Waterslide,Nightclub / DJ,Babysitting,Children's playground,Children's television networks,Indoor play area for children,Children Activities (Kid / Family Friendly),Kids club,Kids pool,Kids' outdoor play equipment,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Couples massage,Facial treatments,Hammam,Manicure,Massage,Pedicure,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Shops,Sun loungers / beach chairs,Sun umbrellas,Butler service,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Bathrobes,Air conditioning,Private beach,Housekeeping,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Private balcony,Room service,Safe,Telephone,VIP room facilities,Bottled water,Laptop safe,Private bathrooms,Minibar,Flatscreen TV,Complimentary toiletries,Hair dryer,Ocean view,Pool view,Non-smoking rooms,Suites,Family rooms","Nabq Bay, Sharm El Sheikh 46628 Egypt","Rixos Premium Seagate is a beautiful ultra-all-inclusive 5-star deluxe resort by the splendid shores of the Red Sea. The resort comprises 1058 rooms, suites and villas fully equipped with mini-bar (water, soft drinks, beer, small bottle of wine & chocolates refilled on daily basis), bathrobes and slippers, LCD IPTV with international channels, free WiFi, direct dial phone, hairdryer, A/C, safe box , tea and coffee making facilities, balcony or terrace. The resort is stacked with 8 swimming pools, 7 A-la-carte restaurants along with an International main buffet restaurant, offering fresh juices for breakfast, all-inclusive bars serving imported alcohol and private beach cabanas with a butler service that anticipates guests every whim. The Resort is fully integrated to suit every type of activity embraced in the city of peace Sharm El Sheikh. Going all the way from a fully-equipped conference centre – Rixos Diamond Hall – coupled with a large conference room, breakout rooms and other business facilities to the latest Aquatic theme park in Sharm El Sheikh – Rixos Aquaventure – with a variety of dry and aqua games awaiting to entertain and delight every family member. Forms of amusement extend to cover the most delicate needs of all ages, from a specialized Kids Club with various activities and cheers in Rixy Club to keep them busy while their parents are enrolled in a nice relaxing massage at Sharm El Sheikh’s biggest recreational and wellness center, Anjana Spa, or attending one of the exceptional performances that take place regularly either on stage or among the roads of the resort."
Rixos Sharm El Sheikh,5.0,"EGP 10,114",",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Beach,Diving,Free shuttle or taxi services,Electric vehicle charging station,Valet parking,Wifi,Hot bath,Pool / beach towels,Adult pool,Outdoor pool,Heated pool,Private pool,Plunge pool,Shallow end in pool,Yoga classes,Fitness / spa changing rooms,Fitness classes,Personal trainer,Sauna,Restaurant,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Happy hour,Outdoor dining area,Snack bar,Special diet menus,Swimup bar,Poolside bar,Game room,Snorkelling,Tennis court,Water park,Windsurfing,Aerobics,Billiards,Darts,Entertainment staff,Evening entertainment,Table tennis,Water park offsite,Waterslide,Nightclub / DJ,Video game console,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Body wrap,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Massage,Salon,Steam room,24-hour security,Baggage storage,Concierge,Convenience store,Currency exchange,Executive lounge access,Gift shop,Newspaper,Outdoor furniture,Shared lounge / TV area,Shops,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,ATM on site,Butler service,Doorperson,First aid kit,Infirmary,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Dining area,Minibar,Cable / satellite TV,Sofa bed,Bidet,Bathrobes,Housekeeping,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Separate dining area,Separate living room,Sofa,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Refrigerator,Electric kettle,Flatscreen TV,Walk-in shower,Bath / shower,Complimentary toiletries,Hair dryer,Ocean view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Nabq Bay, Sharm El Sheikh 46628 Egypt","198 Superior Rooms, 290 Deluxe Rooms, 70 Family Rooms and 137 Junior Suites are spread around this beautifully designed modern resort. Several swimming pools wind there way between buildings or there is a gorgeous stretch of beach providing our guests with lots of options on where to spend their days. Try snorkeling from the wooden jetty or merely a stroll at sunset to see the magnificence of the underworld of the Red Sea. Dining choices include international buffet or choose from the World of Cuisines, with Turkish, Chinese, Indian, Sushi, Italian, Sea Food or a taste of Brazilian cuisine."
Renaissance Sharm El Sheikh Golden View Beach Resort,4.5,"EGP 2,803",",Free parking,Public wifi,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Diving,Kids stay free,Secured parking,Hot bath,Pool / beach towels,Swimming pool toys,Pool with view,Adult pool,Outdoor pool,Heated pool,Shallow end in pool,Yoga classes,Fitness / spa changing rooms,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Swimup bar,Poolside bar,Snorkelling,Tennis court,Water sport equipment rentals,Aerobics,Billiards,Bowling offsite,Darts,Entertainment staff,Evening entertainment,Karaoke,Squash offsite,Table tennis,Water park offsite,Children's playground,Children Activities (Kid / Family Friendly),Kids club,Kids pool,Kids' outdoor play equipment,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Body wrap,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,Waxing services,24-hour security,Baggage storage,Concierge,Convenience store,Currency exchange,Gift shop,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Bathrobes,Air conditioning,Private beach,Desk,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Dining area,Housekeeping,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Separate dining area,Separate living room,Sofa,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Kitchenette,Microwave,Minibar,Oven,Refrigerator,Stovetop,Electric kettle,Kitchenware,Flatscreen TV,Radio,Bath / shower,Complimentary toiletries,Hair dryer,Ocean view,Pool view,Non-smoking rooms,Suites,Family rooms","Al Fanar Street, Sharm El Sheikh Egypt","A luxury resort nestled into a headland peninsula. The accommodation comprises a series of two-level villas, set in landscaped grounds & water gardens. The hotel offers the independent-minded traveler a beautiful atmosphere, with 350 meters of beach frontage, overlooking Tiran Island; one of the world's best diving & snorkeling spots. The hotel'sprivate beach ensures direct access to the reef. The numerous spacious swimming pools & variety of outlets and relaxation areas guarantee guests to discover something wonderfully new at each & every time they stay so that no trip feels routine"
SUNRISE Montemare Resort Grand Select,4.5,"EGP 5,662",",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Beach,Diving,Highchairs available,Parking,Wifi,Pool / beach towels,Pool with view,Adult pool,Outdoor pool,Heated pool,Private pool,Yoga classes,Personal trainer,Sauna,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Outdoor dining area,Snack bar,Special diet menus,Swimup bar,Poolside bar,Mini golf,Snorkelling,Tennis court,Aerobics,Billiards,Darts,Entertainment staff,Evening entertainment,Table tennis,Airport transportation,Shuttle bus service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Body wrap,Facial treatments,Foot massage,Full body massage,Hammam,Head massage,Manicure,Massage,Pedicure,Salon,Steam room,Adults only,24-hour security,Concierge,Gift shop,Sun loungers / beach chairs,Sun umbrellas,Butler service,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Bathrobes,Air conditioning,Private beach,Desk,Coffee / tea maker,Cable / satellite TV,Bath / shower,Private balcony,Room service,Safe,Seating area,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Minibar,Electric kettle,Flatscreen TV,Complimentary toiletries,Hair dryer,Ocean view,Pool view,Non-smoking rooms,Suites,Smoking rooms available","El Fanar Street Hadaba, Sharm El Sheikh 1234 Egypt","Highlights: • Luxury resort with private beach and coral reef • Family friendly while keeping adults-only realms • Swim-up and Jacuzzi Rooms & Suites • 1 buffet and 5 à la carte restaurants (unlimited visits when booking all-inclusive) • Royal club privileges upon booking selected suites • Indian Ayurveda Spa availability Experience all the pleasures and luxuries of Sharm El Sheikh at SUNRISE Montemare Resort -Grand Select- a beautiful vacation spot overlooking the Gulf of Aqaba and Tiran Island. The 5-star luxury resort is family-friendly, however keeping its adults-only realms. The 282 rooms at SUNRISE Montemare Resort offer all the comfort and luxury you need for an unforgettable holiday at the Red Sea. Every room comes with satellite TV, air conditioning, minibar with soft drinks, tea & coffee making facilities and much more. Free Wi-Fi is available throughout the resort and in all rooms. For guest seeking an extra outstanding experience, the resort offers swim-up rooms & suites, as well as sea view suites with private garden and pool. Experience culinary delights in the international restaurant with a daily changing theme buffet or dine at one of the 6 à-la-carte restaurants serving Asian, Italian, Egyptian, Steak and Diet & Light Cuisine. Delicacies from the sea can be enjoyed at Felucca Seafood restaurant (chargeable). In addition, the resort houses 7 Bars: 3 Pool Bars, Beach Bar, Sports Bar, Shisha Lounge, and a 24h Lobby Bar. As the first hotel chain in Egypt, SUNRISE Resorts & Cruises introduces Ayurveda treatments in SUNRISE Montemare Resort in Sharm El Sheikh. The introduction of the Ayurveda Spa with its highly selected and trained staff from India will make the Resort a new attraction for wellness, health and healing enthusiasts. With a spectacular beachfront and 4 outdoor pools, the Resort offers the perfect retreat. Located 10km (13 min) to Sharm El Sheikh Centre and 22km (21 min) to Sharm El Sheikh International Airport, the resort features a distinctive location. Our all-inclusive concept includes: Breakfast, Lunch and Dinner in Buffets or a la carte Restaurants (unlimited reservations), Snacks from 12:00-17:00, 22:30-01:00, local alcoholic Beverages from 10:00-00:00, Water and Hot Beverages 24/7, Minibar with water and soft drinks, Wi-Fi, free entertainment and sports activities, and much more. Some activities/services such as Diving Center, Spa Treatment are extra charge. Please get back to the hotel AI Formula for detailed information."
Movenpick Resort Sharm El Sheikh,4.5,"EGP 4,583",",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Diving,Kids stay free,Secured parking,Wifi,Pool / beach towels,Pool with view,Outdoor pool,Shallow end in pool,Fitness / spa changing rooms,Fitness classes,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Kid-friendly buffet,Kids' meals,Outdoor dining area,Poolside bar,Horseback riding,Snorkelling,Tennis court,Water sport equipment rentals,Aerobics,Billiards,Bowling offsite,Darts,Entertainment staff,Evening entertainment,Table tennis,Water park offsite,Babysitting,Children's playground,Children's television networks,Indoor play area for children,Children Activities (Kid / Family Friendly),Kids club,Kids pool,Kids' outdoor play equipment,Highchairs available,Airport transportation,Shuttle bus service,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Manicure,Massage,Neck massage,Pedicure,Salon,Steam room,Waxing services,24-hour security,Baggage storage,Concierge,Currency exchange,Gift shop,Shops,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,ATM on site,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Private beach,Housekeeping,Coffee / tea maker,Cable / satellite TV,Sofa bed,Walk-in shower,Interconnected rooms available,Private balcony,Room service,Safe,Sofa,Telephone,Wardrobe / wardrobe,Bottled water,Tile / marble floor,Wake-up service / alarm clock,Minibar,Refrigerator,Electric kettle,Flatscreen TV,Complimentary toiletries,Hair dryer,Ocean view,City view,Pool view,Non-smoking rooms,Smoking rooms available","Naama Bay, Sharm El Sheikh 46619 Egypt","Minutes from the airport and downtown, on the majestic shores of the Red Sea, Mövenpick Resort Sharm El Sheikh combines convenience and luxury for a dream vacation or an unforgettable business trip. Captivating guests with its exotic charm, this exquisite hotel offers a panoramic view of Naama Bay, a private beach, 4 totally unique restaurants, a premier meeting room,a horse stable with a riding paradise on beach and desert tracks within the Resort and endless activities (from fitness to relaxation, scuba/desert excursions to shopping and night life). Discover the difference!"
Stella Di Mare Beach Hotel & Spa,5.0,"EGP 4,705",",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Diving,Kids stay free,Parking,Wifi,Hot bath,Adult pool,Outdoor pool,Heated pool,Fitness / spa changing rooms,Fitness classes,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Swimup bar,Poolside bar,Tennis court,Aerobics,Entertainment staff,Evening entertainment,Table tennis,Nightclub / DJ,Babysitting,Children Activities (Kid / Family Friendly),Kids club,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Head massage,Massage,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Gift shop,Shops,Sun umbrellas,Butler service,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Shoeshine,Air conditioning,Private beach,Housekeeping,Interconnected rooms available,Private balcony,Minibar,Refrigerator,Flatscreen TV,Room service,Safe,VIP room facilities,Ocean view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Naama Bay, Sharm El Sheikh 1839 Egypt","This luxurious 5-star full resort is located nearest to Naama Bay. Gourmet dining, expert diving lessons, and evening entertainment, all with stunning views of the Red Sea. The rooms at Stella di Mare Beach Hotel and Spa feature a contemporary design, and are fully modern with flat screen TVs. Each room includes a private balcony or terrace. Stella di Mare has a state-of-the-art PADI diving center and training facilities on-site. A lavish 600 square meter spa and Wellness Center offers guests full relaxation. Saunas, steam baths, indoor and outdoor Jacuzzi are available. Guests can swim in the Stella di Mare's grand outdoor pool, with panoramic views of the surrounding area. The Stella's acclaimed a la carte restaurants offer a variety of dishes from Mediterranean cuisine to Sushi, all prepared by a team of highly-trained international chefs. We also offer guests the chance to play golf on our fantastic short course. Guest's can play whilst enjoying spectacular views of the clear blue sea and can also benefit from our professional golf instructor. The Stella di Mare Beach Hotel and Spa also provides its own evening entertainment program, featuring local Egyptian belly-dancers and international singers nightly. The Resort is located just 10 km from Sharm el-Sheikh International Airport. Free parking is available on-site. Hotel Rooms: 298."
Royal Savoy - Sharm El Sheikh,5.0,"EGP 5,597",",Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Diving,Free airport transportation,Parking,Wifi,Pool / beach towels,Infinity pool,Pool with view,Adult pool,Outdoor pool,Heated pool,Private pool,Fitness / spa changing rooms,Fitness classes,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Special diet menus,Swimup bar,Poolside bar,Snorkelling,Tennis court,Aerobics,Entertainment staff,Evening entertainment,Table tennis,Free shuttle or taxi services,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Head massage,Massage,Salon,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Currency exchange,Executive lounge access,Shops,Sun loungers / beach chairs,Sun umbrellas,Butler service,Doorperson,First aid kit,24-hour check-in,24-hour front desk,Private check-in / check-out,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Private beach,Additional bathroom,Coffee / tea maker,Cable / satellite TV,Bidet,Bathrobes,Desk,Dining area,Housekeeping,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Separate dining area,Separate living room,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Clothes rack,Iron,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Minibar,Refrigerator,Electric kettle,Flatscreen TV,Walk-in shower,Bath / shower,Complimentary toiletries,Hair dryer,Ocean view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Soho Square, Sharm El Sheikh Egypt","The Royal Savoy is an exclusive club wing, complete with its own private lounge, terrace, pool, and beach area. Created for guests who prefer to stay in a more intimate and secluded location within the grounds of the Savoy. The Royal Savoy offers rooms of exceptional grace and comfort, all providing views over Tiran islands or the hotel's landscaped gardens. The rooms range in size from the generous standard rooms, to the famous luxury Suites. All rooms are welcoming and capacious, offering an exceptional combination of style and function."
SUNRISE Diamond Beach Resort - Grand Select,4.5,"EGP 5,619",",Free parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Diving,Babysitting,Parking,Wifi,Hot bath,Pool / beach towels,Pool with view,Adult pool,Outdoor pool,Heated pool,Yoga classes,Fitness / spa changing rooms,Fitness classes,Personal trainer,Sauna,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Swimup bar,Poolside bar,Rooftop bar,Game room,Snorkelling,Tennis court,Water park,Water sport equipment rentals,Aerobics,Billiards,Darts,Entertainment staff,Evening entertainment,Table tennis,Waterslide,Nightclub / DJ,Books, DVDs, music for children,Children's playground,Indoor play area for children,Children Activities (Kid / Family Friendly),Kids club,Kids pool,Kids' outdoor play equipment,Highchairs available,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Shuttle bus service,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Facial treatments,Hammam,Makeup services,Manicure,Massage,Pedicure,Salon,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Currency exchange,Executive lounge access,Gift shop,Shops,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Blackout curtains,Bathrobes,Air conditioning,Private beach,Desk,Coffee / tea maker,Cable / satellite TV,Bath / shower,Housekeeping,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Private bathrooms,Wake-up service / alarm clock,Minibar,Electric kettle,Flatscreen TV,Complimentary toiletries,Hair dryer,Ocean view,Pool view,Non-smoking rooms,Suites,Family rooms","30 Salah Taher St Ras Om El Sid Hill, Sharm El Sheikh 46619 Egypt","Highlights: • Luxurious Family Resort with aqua park • Private beach with access to coral reef • Swim-up and jacuzzi rooms • Stunning infinity pool • Adults only sanctuary • 1 buffet and 5 à la carte restaurants (unlimited visits when booking all-inclusive) • Royal club privileges upon booking selected suites Experience ultimate luxury and serenity at SUNRISE Diamond Beach Resort -Grand Select- in Sharm El Sheikh, Egypt. The 5-star resort has been fully revamped and has been designed to offer guests a luxurious vacation beyond expectations. SUNRISE Diamond Beach Resort comprises of 440 vastly spacious Rooms & Suites all of which exhibit a modern, state-of-the-art concept. Upgrade your vacation and enjoy your stay in any of the lavishly designed Swim-Up and Jacuzzi Rooms & Suites. Royal Club Privileges can be enjoyed when booking any of the Resort’s Suites. Every room comes with satellite TV, air conditioning, minibar with soft drinks, tea & coffee making facilities and much more. Free Wi-Fi is available throughout the property. This elegant resort offers a wide variety of culinary delights, including 1 international restaurant and 5 à-la-carte restaurants serving Italian, Egyptian, Indian, and Mongolian Cuisine and delicacies from the sea at Felucca Seafood restaurant (chargeable). With a total of 12 Bars, Cafés and Pubs, scattered through the Resorts’ premises you will enjoy a perfect mix of fun and relaxation. The newest addition is the Latitude Sky Bar promising spectacular views of the Red Sea. With a choice of three large heated outdoor swimming pools, along with a separate breathtaking infinity pool, and an Aqua Park that keeps the whole family splashing, enjoyment is guaranteed for everyone. Additionally, the Resort features a fully equipped gym (16+), and a high-end spa & beauty salon (chargeable). SUNRISE Diamond Beach Resort offers a private beach with access to a jetty, giving you direct access to the beautiful clear waters in which you can discover the wonders of the Red Sea’s coral reef. Located 15 km (10 min) to Sharm El Sheikh Centre and 25km (20 min) to Sharm El Sheikh International Airport, the resort features a distinctive location. Our all-inclusive concept includes: Breakfast, lunch and dinner in buffet or à-la-carte restaurants (unlimited reservations), snacks from 12:00-17:00, 23:00-01:00, local alcoholic beverages from 10:00-00:00, water and hot beverages 24/7, minibar with water & soft drinks, free entertainment and sports activities, and much more. Some activities/ services such as diving, spa treatments are extra charge. Please get back to the hotel’s AI Formula for detailed information."
