Hotel Names,Ratings,Number of Reviews,Prices,amenities,links,location,Description
"InterContinental Cairo Semiramis, an IHG Hotel",4.5 of 5 bubbles,"2,840 reviews","EGP 5,987","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,Landmark view,City view,Hair dryer,Complimentary toiletries,Bath / shower,Radio,Flatscreen TV,Electric kettle,Refrigerator,Minibar,Wake-up service / alarm clock,Private bathrooms,Laptop safe,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Safe,Room service,Private balcony,Interconnected rooms available,Bidet,Cable / satellite TV,Coffee / tea maker,Housekeeping,Desk,Air conditioning,Bathrobes,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun terrace,Shops,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Light therapy,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Foot bath,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Highchairs available,Poolside bar,Wine / champagne,Outdoor dining area,Kids' meals,Kid-friendly buffet,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Personal trainer,Fitness classes,Fitness / spa changing rooms,Yoga classes,Outdoor pool,Pool with view,Pool / beach towels,Hot bath,Wifi,Paid private parking on-site,Babysitting,Kids stay free,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Corniche El Nil, Cairo 11511 Egypt","On the historic Semiramis hotel site, guests can enjoy modern luxury by the river Nile. Semiramis InterContinental Cairo is 23 KM from Cairo International airport with a premium location in the heart of the city center next to the Egyptian Museum and Khan el Khalili. The Hotel features a 26 sq m2 rooftop pool, fine dining with exquisite cuisine, conference facilities, a state of the art spa, a shopping arcade, and the Nile Terrace offering stunning views of the sunset over the Nile."
1. Steigenberger Hotel El Tahrir,4.5 of 5 bubbles,"1,626 reviews","EGP 4,752EGP 3,951","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Pool view,City view,Hair dryer,Complimentary toiletries,Minibar,Wake-up service / alarm clock,Telephone,Safe,Bath / shower,Extra long beds,Flatscreen TV,Coffee / tea maker,Room service,Desk,Air conditioning,Blackout curtains,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,24-hour check-in,Doorperson,ATM on site,Newspaper,Currency exchange,Baggage storage,24-hour security,Massage,Full body massage,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Poolside bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Fitness / spa changing rooms,Outdoor pool,Wifi,Car park,Airport transportation,Babysitting,Kids stay free,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,",https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html,"2 Kasr El Nile St Tahrir Square, Cairo 11511 Egypt","Among Cairo hotels, Steigenberger El Tahrir secures a spectacular location in El Tahrir Square, overlooking the Egyptian museum, minutes away from Khan El Khalili Bazar, and in close proximity to Egypt's major attractions with a total area of 21,633 sqm. The hotel boasts 295 guest rooms and suites with luxurious decoration items and in-room amenities. This landmark hotel is an ideal location for business trips and social events, offering a variety of culinary outlets, a swimming pool, gym and banqueting facilities."
2. Kempinski Nile Hotel Garden City Cairo,4.5 of 5 bubbles,"4,191 reviews","EGP 6,336EGP 5,702","Smoking rooms available,Suites,Non-smoking rooms,Bridal suite,Landmark view,City view,Hair dryer,Bath / shower,On-demand films,Electric kettle,Refrigerator,Minibar,Wake-up service / alarm clock,Laptop safe,Iron,Clothes rack,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Safe,Room service,Interconnected rooms available,Housekeeping,Bathrobes,Soundproof rooms,Bidet,Flatscreen TV,Coffee / tea maker,Desk,Additional bathroom,Air conditioning,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Laundry service,Dry cleaning,Private check-in / check-out,24-hour front desk,24-hour check-in,Doorperson,Butler service,ATM on site,Sun loungers / beach chairs,Shops,Newspaper,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Waxing services,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Hot spring bath,Head massage,Hand massage,Full body massage,Foot massage,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Kids club,Nightclub / DJ,Rooftop bar,Poolside bar,Wine / champagne,Special diet menus,Kid-friendly buffet,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness classes,Fitness / spa changing rooms,Heated pool,Outdoor pool,Pool with view,Rooftop pool,Pool / beach towels,Hot bath,Wifi,Parking,Babysitting,Evening entertainment,Entertainment staff,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,",https://www.tripadvisor.in/Hotel_Review-g294201-d1597516-Reviews-Kempinski_Nile_Hotel_Garden_City_Cairo-Cairo_Cairo_Governorate.html,"12 Ahmed Ragheb Street Garden City, Cairo 11519 Egypt","Situated in Cairo’s affluent Garden City district, Kempinski Nile Hotel offers luxurious rooms on the shores of the Nile RiverEach room is fitted with free Wi-Fi, free Minibar, Flat Screen TVs with satellite Channels, Free Movie Library, 24/7 Butler Service, Complimentary Tea and Coffee throughout the day. Kempinski’s full-service spa and wellness center offers Free access to Jacuzzi, steam room, and sauna.. Guests can also enjoy professional massages, or cool off in the outdoor swimming pool on the hotel’s rooftop.The hotel is few minutes walk from luxurious shopping areas, Tahrir square, Egyptian Museum, Opera House."
"3. Al Masa Hotel, Nasr City",5 of 5 bubbles,929 reviews,"EGP 1,869","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Flatscreen TV,Refrigerator,Minibar,VIP room facilities,Safe,Room service,Air conditioning,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,ATM on site,Non-smoking hotel,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Kids club,Children Activities (Kid / Family Friendly),Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness / spa changing rooms,Outdoor pool,Hot bath,Wifi,Babysitting,Kids stay free,Tennis court,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Free parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d2389917-Reviews-Al_Masa_Hotel_Nasr_City-Cairo_Cairo_Governorate.html,"Dr Abd Al Aziz Al Shennawy St, Cairo 11511 Egypt","You are invited to escape the noise and the pollution and to enjoy the peaceful atmosphere on Al Masa spectacular heights. While sitting under a pergola surrounded by the stunning nature enjoy beverage of choice that are served to match the moment. It is the spot for a quiet, contemplative moment where you can enjoy the tranquility of the environment. In a one-of-a-kind experience, imagine your self-hiking along one of the most beautiful ridge walks in the green foothills. Al Masa Hotel features a terrace with a swimming pool. In the green area of Nasr City, it includes 5 restaurants and a spa center. All the elegant rooms have a balcony. Al Masa Hotel has a selection of activities, including different types of massages, Billiards, cinema and bowling. Cairo International Airport is a 10-minute drive and Cairo International Conference Centre is just a 5-minute drive away. The center of Cairo and the Egyptian Museum are both 20 minutes away by car."
4. Cairo Marriott Hotel & Omar Khayyam Casino,4.5 of 5 bubbles,"3,826 reviews","EGP 4,606EGP 4,488","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,City view,Hair dryer,Complimentary toiletries,Bath / shower,Walk-in shower,Flatscreen TV,Electric kettle,Minibar,Wake-up service / alarm clock,Private bathrooms,Iron,Bottled water,VIP room facilities,Telephone,Safe,Room service,Private balcony,Bathrobes,Bidet,Cable / satellite TV,Coffee / tea maker,Housekeeping,Desk,Air conditioning,Soundproof rooms,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,24-hour check-in,Doorperson,Butler service,ATM on site,Shops,Outdoor furniture,Gift shop,Executive lounge access,Currency exchange,Concierge,Chapel / shrine,Baggage storage,24-hour security,Waxing services,Steam room,Salon,Pedicure,Neck massage,Massage chair,Massage,Manicure,Makeup services,Light therapy,Hot spring bath,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Foot bath,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Highchairs available,Poolside bar,Snack bar,Outdoor dining area,Kids' meals,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Bar / lounge,Sauna,Fitness classes,Fitness / spa changing rooms,Yoga room,Yoga classes,Heated pool,Outdoor pool,Pool / beach towels,Paid wifi,Wifi,Car park,Paid public parking nearby,Kids pool,Kids stay free,Casino and Gambling,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Free private parking nearby,",https://www.tripadvisor.in/Hotel_Review-g294201-d299719-Reviews-Cairo_Marriott_Hotel_Omar_Khayyam_Casino-Cairo_Cairo_Governorate.html,"16 Saray El Gezira Street Zamalek, Cairo 11511 Egypt","Among premier Cairo, Egypt hotels, Cairo Marriott Hotel & Omar Khayyam Casino sits in the Zamalek area and is the perfect destination for weekend getaways, vacations, and business travel. The twin towers of this landmark hotel in Cairo rise 20 stories high and provide magnificent views of the Nile and six acres of palace gardens."
5. Le Passage Cairo Hotel & Casino,4.5 of 5 bubbles,"3,220 reviews","EGP 3,036","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Refrigerator,Wake-up service / alarm clock,VIP room facilities,Flatscreen TV,Minibar,Safe,Room service,Interconnected rooms available,Air conditioning,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Self-serve laundry,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,Doorperson,Butler service,ATM on site,Shops,Gift shop,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free shuttle or taxi services,Free airport transportation,Kids club,Children Activities (Kid / Family Friendly),Nightclub / DJ,Poolside bar,Swimup bar,Special diet menus,Kids' meals,Kid-friendly buffet,Breakfast in the room,Breakfast buffet,Restaurant,Coffee shop,Fitness classes,Fitness / spa changing rooms,Heated pool,Outdoor pool,Adult pool,Infinity pool,Hot bath,Public wifi,Kids stay free,Water park,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free internet,Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d301746-Reviews-Le_Passage_Cairo_Hotel_Casino-Cairo_Cairo_Governorate.html,"Cairo International Airport Road El Horreya-Heliopolis, Cairo 11511 Egypt","Le Passage Cairo Hotel & Casino is located in Heliopolis, an elegant business and residential district in Cairo and it is considered one of the safest area in town. The hotel is only five minutes from Cairo International Airport and ten minutes from the Cairo International Convention Centre and Fair Grounds, with free shuttle bus service, free wifi and free internet. Great design is the key to this urban, cosmopolitan business and leisure base, providing a sophisticated and stylish environment in the throbbing heart of Egypt and the Middle East. Le Passage Cairo Hotel & Casino celebrates individuality with a wide range of accommodation choices from well appointed rooms and suites with exquisite views to the Executive Club floor which is ideal for business travelers, short breaks, family holidays or those special occasions."
Fairmont Nile City,4.5 of 5 bubbles,"5,393 reviews","EGP 4,838","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,City view,Hair dryer,Complimentary toiletries,Bath / shower,Whirlpool bathtub,Walk-in shower,iPod docking station,Radio,On-demand films,Flatscreen TV,Electric kettle,Refrigerator,Minibar,Kitchenette,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Laptop safe,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Sofa,Separate living room,Separate dining area,Seating area,Safe,Room service,Private balcony,Interconnected rooms available,Housekeeping,Dining area,Bathrobes,Air purifier,Bidet,Cable / satellite TV,Coffee / tea maker,Desk,Additional bathroom,Air conditioning,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Laundry service,Dry cleaning,Clothes dryer,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,Umbrella,Infirmary,First aid kit,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun terrace,Sun loungers / beach chairs,Sun deck,Shops,Shared lounge / TV area,Shared bathroom,Outdoor furniture,Newspaper,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Waxing services,Steam room,Salon,Pedicure,Neck massage,Massage chair,Massage,Manicure,Makeup services,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Foot bath,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free airport transportation,Highchairs available,Kids pool,Children's television networks,Babysitting,Nightclub / DJ,Evening entertainment,Entertainment staff,Rooftop bar,Poolside bar,Wine / champagne,Special diet menus,Snack bar,Outdoor dining area,Kids' meals,Kid-friendly buffet,Happy hour,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Personal trainer,Fitness classes,Fitness / spa changing rooms,Yoga room,Yoga classes,Shallow end in pool,Outdoor pool,Adult pool,Pool with view,Rooftop pool,Pool / beach towels,Hot bath,Paid wifi,Wifi,Paid private parking on-site,Kids stay free,Aerobics,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d580690-Reviews-Fairmont_Nile_City-Cairo_Cairo_Governorate.html,"Nile City Towers - 2005 B, Corniche El Nil Ramlet Beaulac, Cairo 2466 Egypt","A melting pot of history and diversity, the city of Cairo is ideal for both business and leisure. Like the city itself, Fairmont Nile City offers a delightful series of contrasts, combining advanced technology and modern design with local flavors and flair. With sweeping panoramas of the river Nile and the Pyramids in the distance, Cairo’s beauty and history are always in sight from your luxury accommodation. During your stay, embark on culinary adventures at the city’s finest restaurants, enjoy the fresh air at our rooftop poolside restaurant and pamper yourself at Willow Stream Spa. Part of the prestigious Nile City complex, this luxury hotel is the perfect location for business events. The space consists of 845 square meters (9,100 square feet) plus 450 square meters (4,800 square feet) of outdoor space dedicated to meetings and conventions, comprising of 10 meeting rooms including a ballroom. The space also offers spectacular river Nile views."
"6. Sonesta Hotel, Tower & Casino Cairo",4.5 of 5 bubbles,"1,611 reviews","EGP 2,876","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Flatscreen TV,Minibar,VIP room facilities,Safe,Room service,Private balcony,Housekeeping,Air conditioning,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Butler service,ATM on site,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Massage,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free shuttle or taxi services,Poolside bar,Swimup bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Fitness / spa changing rooms,Outdoor pool,Hot bath,Wifi,Babysitting,Kids stay free,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d302323-Reviews-Sonesta_Hotel_Tower_Casino_Cairo-Cairo_Cairo_Governorate.html,"3 El Tayaran Street Nasr City, Cairo 9039 Egypt","The Sonesta Cairo's 409 spacious guest rooms and suites offer a variety of luxurious amenities. A room on the executive floors offer exclusive lounges and 24-hour concierge service. The poolside bar and full-service spa with a Turkish steam bath are heavens for relaxation. After the pampering, the hotel offers several options at its gourmet restaurants serving Italian, Lebanese, Japanese, or French cuisine. One of the best Cairo hotels, the Sonesta is ideal for both business and leisure travellers. ** As per the Ministry of Health and Ministry of Tourism's recent rules and regulations; Non-Egyptian guests are required to provide to the hotel a proof of a negative PCR test for (COVID-19) issued not more than 72 hours prior to arrival (starting 15 August, 2020)"
"7. Radisson Blu Hotel, Cairo Heliopolis",4 of 5 bubbles,"2,108 reviews","EGP 3,339EGP 3,134","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,City view,Hair dryer,Complimentary toiletries,Flatscreen TV,Electric kettle,Wake-up service / alarm clock,Private bathrooms,Iron,Bottled water,Wardrobe / wardrobe,Telephone,Safe,Room service,Bath / shower,Cable / satellite TV,Coffee / tea maker,Interconnected rooms available,Housekeeping,Desk,Air conditioning,Blackout curtains,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,Doorperson,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Waxing services,Steam room,Pedicure,Neck massage,Massage,Manicure,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Facial treatments,Body wrap,Spa,Meeting rooms,Banquet room,Conference facilities,Taxi service,Car hire,Shuttle bus service,Poolside bar,Kids' meals,Happy hour,Complimentary tea,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Personal trainer,Fitness / spa changing rooms,Heated pool,Outdoor pool,Rooftop pool,Wifi,Secured parking,Airport transportation,Highchairs available,Walking tours,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,",https://www.tripadvisor.in/Hotel_Review-g294201-d1229187-Reviews-Radisson_Blu_Hotel_Cairo_Heliopolis-Cairo_Cairo_Governorate.html,"Abdel Hamid Badawi Street Extension Heliopolis Area, Cairo 11511 Egypt","Superbly located in Heliopolis, The new Radisson Blu Hotel, Cairo Heliopolis is the hotel of choice for business travelers and tourists. Providing spacious, well appointed guest rooms. The hotel is the perfect oasis for guest visiting the city. Flexible meeting rooms and a day-lit ballroom make the hotel one of the area's premiere conference venues. After a hard day’s work, or following a visit to Cairo sights guests can relax and unwind in the Egyptian sun at the hotel’s rooftop pool and elegant spa area."
8. Sofitel Cairo Nile El Gezirah,4.5 of 5 bubbles,"3,918 reviews","EGP 5,646","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Landmark view,City view,Hair dryer,Flatscreen TV,Electric kettle,Refrigerator,Wake-up service / alarm clock,Private bathrooms,Iron,Clothes rack,Bottled water,Wardrobe / wardrobe,Telephone,Seating area,Room service,Private balcony,Interconnected rooms available,Housekeeping,Bath / shower,Cable / satellite TV,Minibar,Desk,Additional bathroom,Air conditioning,Bathrobes,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,24-hour check-in,Umbrella,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun loungers / beach chairs,Sun deck,Shops,Outdoor furniture,Newspaper,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Makeup services,Head massage,Hammam,Full body massage,Foot massage,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Kids pool,Babysitting,Nightclub / DJ,Patio,Evening entertainment,Poolside bar,Swimup bar,Wine / champagne,Special diet menus,Snack bar,Outdoor dining area,Kids' meals,Kid-friendly buffet,Happy hour,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness classes,Fitness / spa changing rooms,Yoga classes,Heated pool,Outdoor pool,Pool with view,Infinity pool,Pool / beach towels,Hot bath,Wifi,Paid private parking on-site,Kids stay free,Entertainment staff,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free internet,Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d304481-Reviews-Sofitel_Cairo_Nile_El_Gezirah-Cairo_Cairo_Governorate.html,"3 El Thawra Council St Zamalek, Cairo Egypt","On the southern tip of Gezirah Island, the hotel is a corner of paradise in central Cairo, minutes from Cairo’s business districts. Discover a haven of peace during a vacation in Egypt, and a comfortable base to rest after a successful day of business. Relax by the pool, pamper yourself in Sofitel SPA, wine and dine in our international restaurants and bars. Surrender to luxury and come for a day, a weekend, a week…or more. A stroll along the hotel’s lush riverside promenade takes you to a host of acclaimed restaurants and bars. You can take your time, enjoying the cool shade of exotic palms and breathing in the scent of hibiscus. You’ll hear the gentle sound of water lapping as you rest on a Nile-side terrace with a cool drink, and dine on international cuisine. It’s especially beautiful at dusk, when the sun sets over Cairo’s skyline and vibrant nightlife. Escape the city for a day at our secluded Cairo hotel, which feels like an exclusive Egyptian resort set in lush gardens. Take advantage of Sofitel SPA and Sofitel FIT, float in an infinity pool overlooking the Nile, unwind in a bubbling whirlpool bath… whatever you desire. Day membership includes discounts to the restaurants and bars which line the Nile-side promenade, promising refreshment and fun for families, couples and friends."
