Attraction name,Number of reviews
1. The Museum of Egyptian Antiquities,"12,684"
2. Nile River,"3,097"
3. Coptic Cairo,"2,063"
4. Mosque of Muhammad Ali,"2,641"
5. Al-Azhar Park,937
6. Khan Al-Khalili,"4,013"
7. Cairo Citadel,"1,240"
8. Cave Church,346
9. Cairo Festival City Mall,428
10. Al-Azhar Mosque,371
11. Islamic Cairo,795
12. Sharia Al Mu'izz Li-Din Allah,274
13. The Coptic Museum,323
"14. Hanging Church (El Muallaqa, Sitt Mariam, St Mary)",792
15. Mosque and Madrasa of Sultan Hassan,449
16. City Stars Mall,462
17. Zamalek (Gezira Island),495
18. Mosque of Ibn Tulun,399
19. Museum of Islamic Arts,144
20. Manial Palace Museum,142
21. Cairo Tower,"1,154"
22. Gayer-Anderson Museum (Bayt al-Kiritliya),213
23. Wekalet El Ghouri Arts Center,111
24. Mall of Arabia Cairo,229
25. Church of St. Sergius and Bacchus,171
26. Abdeen Palace Museum,78
27. Al Rifai Mosque,169
28. Coptic Orthodox Church of St. George (Mari Girgis),228
29. Heliopolis,166
30. Nilometer,102
