hotel Names,Review
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"excellent food and wonderful service.  The pane vino restaurant was delicious and our waiter Adel rahman was helpful, friendly and very efficient.  We found the price is very reasonable and the view was great. This is a must place to eat if you’re in this area"
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,Hotel location is good. Walking distance to a couple of tourist spots in downtown Cairo. Breakfast is nice. House keeping guy Taha on 15th floor is very nice and helpful. Good place for long stay. Safe and comfortable.
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"GATE 1 arranged this luxurious hotel for our Cairo stay ! It was an amazing experience, very friendly, hospitable , comfortable, efficient! The breakfast was fantastic ; views from rooms of either the Nile or Tahrir square were simply magnificent!  The luggages , check ins, check outs of ALL 57 of us were handled seemlessly by GATE 1 ! The buses were new, with WIFI and charge ports in every seat ! The drivers were  friendly and professional too ..,  THREE CHEERS to GUDES RIHAM, NEHAL and our driver ZACHARIYA! 👏🏼👏🏼👏🏼  The restaurants were fabulous too , especially the Indian  and Thai ones !"
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Great Hotel with Solid Service. Especially the receptionist Yasser helped me and my mom book a reservation at the Revolving Restaurant & we had an amazing date and ambience over there which we really enjoyed.   Highly recommend and especially letting our dear friend Yasser do all the bookings, tours and reservations for you !"
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"….. that there was a time, before retirement, when the Intercon group was my very favourite and I enjoyed their highest status of Royal Ambassador … but these days I travel using my own money but still choose this brand when I am able to. The receptionist smiled when he found my card had lapsed some 14 years ago but my smiling request for a Nile view room was ignored as he is clearly not able to use his discretion for “old friends”!! He did however offer my a rate on the daily breakfast that my agent had not sort to include in my booking …. a good guy who went the extra mile!  Breakfast is a Bun Fight in the In and Out Cafe!! The receptionist very organised and one of the staff named Omnia a service “star” … the perfect staff member that we dearly loved to have in the days when I ran hotels myself  The breakfast restaurant clearly lacks organisation … in my four days here they have never ever managed to have sufficient fruit juices available to meet demand … it is a crying shame! The price charged for breakfast is substantial and the food offering and general service does not reflect that  We have also had a meal in the lobby cafe each evening of our stay … and here we see classic Egyptian management at work! When I opened restaurants in Egypt we found that one of the major hurdles was to teach managment to be proactive in quickly addressing guests needs and not expecting staff to do everything …. I am easy on service because I understand but having to approach service staff and demand attention or serve myself my own drinks means that I have had enough!  I like this hotel and will return … it is so very easy to get to anywhere in Cairo and the Bell Captains help in securing me local taxi was everything as it should be. The front door service, reception desk and Omnia deserve full recognition!!!  Final Question? ….. why is the same sandwich served three different ways in three days … the F&B director needs to question why standards are not being followed…"
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"We stayed , I and my wife, in Semiramis intercontinental Cairo, for 16 nights from 19/10/2022 to 4/11/2022. It was , as always, a wonderful experience . The reception was very courteous , we were upgraded to a stunning suite, the ladies in the executive lounge looked after us very well. The food was of wonderful variety..this is my 11th year of staying in Semiramis , will never stay anywhere else, in fact we , already, booked our trip for next year. I would like to thank Karim Zereef who helped us enormously, thanks to Mena  in the front desk, the ladies in the lounge, Mena, Hidi, Reem, Nermin . Thanks to Amanny, Waleed, Mehmood, Muhammed, Abu Zaid and the rest. Thanks , once again, to all of you who made our stay so nice and pleasurable… See you, all, next year!! Najim Ghulam and Hala Safari…"
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"My wife and I stayed here two nights and thoroughly enjoyed our stay.  Very good location and attentive staff.  Our room was large, bed very comfortable and we enjoyed sitting on little deck over looking the Nile and the city.  The dinner and breakfast buffet was extensive, food well prepared and there was room for people to move around without banging into each other.  All in all a very nice stay and we would recommend."
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,The worst reception and service I have ever had in a so-called 5-star hotel. No recognition of my Ambassador status. Disorganized check-in and check-out. They gave me a room that was not ready yet. The terrace bar of the hotel is simply dirty. The management of this hotel should be ashamed of the quality of the respect given to the customers. IHG should audit this hotel thoroughly.
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"I’ve been to over thirty  intercontinentales, and as a royal ambassador I can say this was one of the top one or two. The hotel is remodeled, the staff (especially Haremos and Waleed in the club lounge) were very attentive and friendly.   The ambassador club is also one of the best I’ve seen, out of all the intercontinentales I’ve visited. Only the one in Seoul is of the same caliber.   The location is perfect, right on the Nile and next door to the museum."
https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Booking and staff are very good and friendly.  THE ROOMS ARE A BIT TIRED,  Doors does not close properly. They are very old and they have not been modernised.  The views are great overlooking the Nile and I could see the pyramids from my balcony.  Breakfast was good, but it was very busy and doesn't feel like a personal experience.  Some of the staff are stressed and some are pleasant.  Reception staff are good and helpful.  We had a room which was next to the lift shaft.  This room was very noisy all night and I had to fight to get it changed.  Overall, the experience is good but not excellent. "
https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html,"We stayed for 3 nights here in early November. The hotel was 5 star all the way. The morning breakfast was a spread that can't be matched. So many choices. The room was a good size and was very comfortable. The bed was the perfect firmness. There was a choice of different pillow types. The shower had plenty of hot water and good amenities. It had a rainshower head which we prefer. Our room steward/housekeeper was the same every day. His name was Mohamed Abdelslam and he was awesome! We frequently saw him during the day or evening and he always had a smile, asked us how we were enjoying our stay and if there was anything at all he could get us or do for us. It was a welcome home each day we saw him there. The front desk and concierge were always helpful with directions and answering questions. The location was great for getting around and we always felt safe.. We would highly recommend a stay here and would happily stay here again.…"
https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html,It is my first visit to the hotel. I like it so mach in general. The hotel is so clean and comfortable and suitable for family. The staff are friendly and kind and corporative. My experience was great specially in area of open buffet in breakfast. There were a variety of dishes that can meet different test . Actually I recommend every one to come there and enjoy it. I gonna to visit it again 👍🏾
https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html,Best stay 3ver i would repeat it without thinking the hotel is located nera to museum and all tourstic place's stuff is so kind and helpful qnd having good idea about hospital llitt thanks for everything
https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html,This is first stay in Cairo and it’s amazing stay I was here for 3 nights all stuff are good and helpful and friendly I try the breakfast and Cairo bar it was so good and waiters are great and very cooperative
https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html,"The staff and the hotel is super nice .  Pool is cool and food is perfect, Huygen and fresh and staff is super friendly.  Honestly i wouldn’t stay at any hotel rather than this one from now on.  Location is near everywhere in cairo and rooms are super clean and well organized and clean and big"
https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html,"The check in was smooth and the rooms were very nice and clean and comfortable the breakfast was perfect and organized, the housekeeping were attentive and helpful, the pool was very nice and they were prepared a tv fo World Cup matches"
