Hotel Names,Ratings,Number of Reviews,Prices
Sponsored      Fairmont Nile City,4.5 of 5 bubbles,"5,355 reviews","EGP 6,203"
1. Steigenberger Hotel El Tahrir,4.5 of 5 bubbles,"1,562 reviews","EGP 8,201"
2. Kempinski Nile Hotel Garden City Cairo,4.5 of 5 bubbles,"4,154 reviews","EGP 13,694"
3. Fairmont Nile City,4.5 of 5 bubbles,"5,355 reviews","EGP 6,203"
"4. Al Masa Hotel, Nasr City",5 of 5 bubbles,897 reviews,"EGP 1,819"
5. Cairo Marriott Hotel & Omar Khayyam Casino,4.5 of 5 bubbles,"3,775 reviews","EGP 5,708EGP 5,567"
"Sponsored      Staybridge Suites Cairo - Citystars, an IHG Hotel",4.5 of 5 bubbles,231 reviews,"EGP 4,781"
6. Le Passage Cairo Hotel & Casino,4.5 of 5 bubbles,"3,187 reviews","EGP 4,751EGP 4,004"
"7. Sonesta Hotel, Tower & Casino Cairo",4.5 of 5 bubbles,"1,601 reviews","EGP 2,906"
"8. Radisson Blu Hotel, Cairo Heliopolis",4 of 5 bubbles,"2,071 reviews","EGP 3,665"
9. Sofitel Cairo Nile El Gezirah,4.5 of 5 bubbles,"3,900 reviews","EGP 12,721EGP 12,433"
10. Dusit Thani LakeView Cairo,4.5 of 5 bubbles,"3,491 reviews","EGP 7,205"
"Sponsored      Holiday Inn Cairo - Citystars, an IHG Hotel",4.5 of 5 bubbles,"1,058 reviews","EGP 3,835"
11. Le Meridien Cairo Airport,4.5 of 5 bubbles,"1,572 reviews","EGP 4,554EGP 4,447"
12. Royal Maxim Palace Kempinski Cairo,4.5 of 5 bubbles,"2,029 reviews","EGP 8,180"
13. Dahab Hostel,4.5 of 5 bubbles,572 reviews,EGP 503EGP 322
14. Novotel Cairo Airport,4 of 5 bubbles,"2,210 reviews","EGP 3,249"
15. Hilton Cairo Heliopolis,4 of 5 bubbles,"1,716 reviews","EGP 4,725"
"Sponsored      InterContinental Cairo Semiramis, an IHG Hotel",4.5 of 5 bubbles,"2,834 reviews","EGP 8,399"
16. Grand Nile Tower,3.5 of 5 bubbles,928 reviews,"EGP 4,705"
17. Ramses Hilton,4 of 5 bubbles,"4,160 reviews","EGP 8,424"
18. Hilton Cairo Zamalek Residences,4 of 5 bubbles,949 reviews,"EGP 5,999"
"19. The St. Regis Almasa Hotel, Cairo",4.5 of 5 bubbles,110 reviews,"EGP 4,968"
20. Concorde El Salam Hotel Cairo by Royal Tulip,4 of 5 bubbles,727 reviews,"EGP 3,398"
Sponsored      Sofitel Cairo Nile El Gezirah,4.5 of 5 bubbles,"3,900 reviews","EGP 11,279"
21. Novotel Cairo El Borg,4 of 5 bubbles,"1,431 reviews","EGP 5,580"
22. Baron Hotel Cairo,4 of 5 bubbles,830 reviews,"EGP 2,395"
23. Osiris Hotel,4.5 of 5 bubbles,502 reviews,EGP 951
24. Paradise Boutique Hotel,4 of 5 bubbles,78 reviews,EGP 804
25. Cairo Paradise Hotel,4.5 of 5 bubbles,171 reviews,EGP 839
26. Golden Tulip Flamenco Hotel Flamenco Cairo,3.5 of 5 bubbles,455 reviews,"EGP 4,072"
27. New Grand Royal Hotel Cairo,4 of 5 bubbles,369 reviews,EGP 838
28. Tolip Golden Plaza Hotel,3.5 of 5 bubbles,95 reviews,"EGP 3,390"
29. City View Hotel,4 of 5 bubbles,407 reviews,"EGP 1,441EGP 1,119"
30. Oasis Hotel,4 of 5 bubbles,4 reviews,EGP 341
Sponsored      Hilton Cairo Zamalek Residences,4 of 5 bubbles,949 reviews,"EGP 6,017"
