"Sponsored      InterContinental Cairo Semiramis, an IHG Hotel",4.5 of 5 bubbles,"2,840 reviews","EGP 6,178",https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html
"31. InterContinental Citystars Cairo, an IHG Hotel",4.5 of 5 bubbles,"2,547 reviews","EGP 6,470",https://www.tripadvisor.in/Hotel_Review-g294201-d536381-Reviews-InterContinental_Citystars_Cairo_an_IHG_Hotel-Cairo_Cairo_Governorate.html
32. Renaissance Cairo Mirage City Hotel,4.5 of 5 bubbles,"1,068 reviews","EGP 6,224",https://www.tripadvisor.in/Hotel_Review-g294201-d4267134-Reviews-Renaissance_Cairo_Mirage_City_Hotel-Cairo_Cairo_Governorate.html
33. Triumph Plaza Hotel,4.5 of 5 bubbles,924 reviews,"EGP 3,006",https://www.tripadvisor.in/Hotel_Review-g294201-d1201610-Reviews-Triumph_Plaza_Hotel-Cairo_Cairo_Governorate.html
34. Triumph Luxury Hotel,5 of 5 bubbles,576 reviews,"EGP 5,167",https://www.tripadvisor.in/Hotel_Review-g294201-d15190206-Reviews-Triumph_Luxury_Hotel-Cairo_Cairo_Governorate.html
"35. InterContinental Cairo Semiramis, an IHG Hotel",4.5 of 5 bubbles,"2,840 reviews","EGP 5,807",https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html
"Sponsored      Staybridge Suites Cairo - Citystars, an IHG Hotel",4.5 of 5 bubbles,233 reviews,"EGP 4,966",https://www.tripadvisor.in/Hotel_Review-g294201-d1150283-Reviews-Staybridge_Suites_Cairo_Citystars_an_IHG_Hotel-Cairo_Cairo_Governorate.html
"36. Holiday Inn & Suites Cairo Maadi, an IHG Hotel",4 of 5 bubbles,753 reviews,"EGP 5,642",https://www.tripadvisor.in/Hotel_Review-g294201-d299627-Reviews-Holiday_Inn_Suites_Cairo_Maadi_an_IHG_Hotel-Cairo_Cairo_Governorate.html
37. Hilton Cairo Zamalek Residences,4 of 5 bubbles,970 reviews,"EGP 5,360",https://www.tripadvisor.in/Hotel_Review-g294201-d301697-Reviews-Hilton_Cairo_Zamalek_Residences-Cairo_Cairo_Governorate.html
38. Conrad Cairo,4.5 of 5 bubbles,"2,672 reviews","EGP 5,367",https://www.tripadvisor.in/Hotel_Review-g294201-d302720-Reviews-Conrad_Cairo-Cairo_Cairo_Governorate.html
"39. Holiday Inn Cairo - Citystars, an IHG Hotel",4.5 of 5 bubbles,"1,070 reviews","EGP 3,912",https://www.tripadvisor.in/Hotel_Review-g294201-d817571-Reviews-Holiday_Inn_Cairo_Citystars_an_IHG_Hotel-Cairo_Cairo_Governorate.html
"40. The Westin Cairo Golf Resort & Spa, Katameya Dunes",4.5 of 5 bubbles,507 reviews,"EGP 7,541EGP 6,841",https://www.tripadvisor.in/Hotel_Review-g294201-d10745996-Reviews-The_Westin_Cairo_Golf_Resort_Spa_Katameya_Dunes-Cairo_Cairo_Governorate.html
Sponsored      Fairmont Nile City,4.5 of 5 bubbles,"5,390 reviews","EGP 4,838",https://www.tripadvisor.in/Hotel_Review-g294201-d580690-Reviews-Fairmont_Nile_City-Cairo_Cairo_Governorate.html
41. Cairo World Trade Center Hotel & Residences,4 of 5 bubbles,505 reviews,"EGP 5,110EGP 4,020",https://www.tripadvisor.in/Hotel_Review-g294201-d543043-Reviews-Cairo_World_Trade_Center_Hotel_Residences-Cairo_Cairo_Governorate.html
42. Maadi Hotel,4.5 of 5 bubbles,357 reviews,"EGP 2,333",https://www.tripadvisor.in/Hotel_Review-g294201-d302696-Reviews-Maadi_Hotel-Cairo_Cairo_Governorate.html
43. Grand Agor,4.5 of 5 bubbles,38 reviews,"EGP 1,171",https://www.tripadvisor.in/Hotel_Review-g294201-d12239092-Reviews-Grand_Agor-Cairo_Cairo_Governorate.html
44. Tolip El Galaa Hotel Cairo,3.5 of 5 bubbles,84 reviews,"EGP 1,885",https://www.tripadvisor.in/Hotel_Review-g294201-d7744714-Reviews-Tolip_El_Galaa_Hotel_Cairo-Cairo_Cairo_Governorate.html
