Name,Ratings,No. of reviews,Category
Wadi El-Rayan,4.5,122,Waterfalls
Fayoum Oasis,4,76,City Tours • Cultural Tours • Climbing Tours • Day Trips
The Pyramid of Sneferu,4.5,14,Points of Interest & Landmarks
Waterwheels in Al Faiyum,3.5,25,Points of Interest & Landmarks
Pyramids of El Fayoum,4.5,3,Monuments & Statues
Temple of Dionysias (Temple of Stones),4,12,Historic Sites • Ancient Ruins
Caricature Museum,4,8,Art Galleries • Art Museums
Kom Oshim Museum,3.5,3,History Museums
Karanis,4,9,Ancient Ruins
The Hanging Mosque “ Al-Moallaq”,4,1,Historic Sites • Architectural Buildings • Monuments & Statues
Real Fayoum Tours,5,38,"Multi-day Tours • 4WD, ATV & Off-Road Tours • Safaris • Bike Tours • Hiking & Camping Tours • Nature & Wildlife Tours • Day Trips"
Explore Fayoum Tours,5,30,"4WD, ATV & Off-Road Tours • Historical & Heritage Tours • Walking Tours • Private Tours • Archaeology Tours"
Leila lounge & cafe,5,4,Coffee & Tea Tours
Emo Tours Egypt,5,1,"Submarine Tours • Duck Tours • Beer Tastings & Tours • Coffee & Tea Tours • Sightseeing Tours • Horse-Drawn Carriage Tours • Food Tours • Factory Tours • Wine Tours & Tastings  • Photography Tours • Canyoning & Rappelling Tours • Distillery Tours • 4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours • Bike Tours • Eco Tours • Fishing Charters & Tours • Hiking & Camping Tours • Nature & Wildlife Tours • Running Tours • Archaeology Tours • Day Trips • City Tours • Multi-day Tours • Cultural Tours • Ghost & Vampire Tours • Historical & Heritage Tours • Hop-On Hop-Off Tours • Boat Tours • Motorcycle Tours • Film & TV Tours • Night Tours • Private Tours • Rail Tours • Bus Tours • Vespa, Scooter & Moped Tours • Bar, Club & Pub Tours • Fashion Shows & Tours • Segway Tours • Shopping Tours • Walking Tours • Gondola Cruises • Speed Boats Tours"
Karen Tours,,,"4WD, ATV & Off-Road Tours • Climbing Tours • Hiking & Camping Tours • Nature & Wildlife Tours"
Day Tour to Al Fayyum from Cairo,,,"Submarine Tours • Duck Tours • Beer Tastings & Tours • Coffee & Tea Tours • Sightseeing Tours • Horse-Drawn Carriage Tours • Food Tours • Factory Tours • Wine Tours & Tastings  • Photography Tours • Canyoning & Rappelling Tours • Distillery Tours • 4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours • Balloon Rides • Bike Tours • Eco Tours • Fishing Charters & Tours • Hiking & Camping Tours • Nature & Wildlife Tours • Running Tours • Archaeology Tours • Day Trips • City Tours • Multi-day Tours • Cultural Tours • Ghost & Vampire Tours • Historical & Heritage Tours • Hop-On Hop-Off Tours • Boat Tours • Motorcycle Tours • Film & TV Tours • Night Tours • Private Tours • Rail Tours • Bus Tours • Vespa, Scooter & Moped Tours • Bar, Club & Pub Tours • Fashion Shows & Tours • Segway Tours • Shopping Tours • Walking Tours • Gondola Cruises • Speed Boats Tours"
Fayoum Pottery School,,,Paint & Pottery Studios
Qusoor Elarab Camp,,,Hiking & Camping Tours
Miro Tours Egypt,,,"Submarine Tours • Duck Tours • Beer Tastings & Tours • Coffee & Tea Tours • Sightseeing Tours • Horse-Drawn Carriage Tours • Food Tours • Factory Tours • Wine Tours & Tastings  • Photography Tours • Canyoning & Rappelling Tours • Distillery Tours • 4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours • Balloon Rides • Bike Tours • Eco Tours • Fishing Charters & Tours • Hiking & Camping Tours • Nature & Wildlife Tours • Running Tours • Archaeology Tours • Day Trips • City Tours • Multi-day Tours • Cultural Tours • Ghost & Vampire Tours • Historical & Heritage Tours • Hop-On Hop-Off Tours • Boat Tours • Motorcycle Tours • Film & TV Tours • Night Tours • Private Tours • Rail Tours • Bus Tours • Vespa, Scooter & Moped Tours • Bar, Club & Pub Tours • Fashion Shows & Tours • Segway Tours • Shopping Tours • Walking Tours • Gondola Cruises • Speed Boats Tours"
Happy Egypt Tours,,,"Parasailing & Paragliding • Scuba & Snorkelling • Submarine Tours • Waterskiing & Jetskiing • Coffee & Tea Tours • Sightseeing Tours • Cooking Classes • Horse-Drawn Carriage Tours • Food Tours • Factory Tours • Photography Tours • Paint & Pottery Studios • 4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours • Balloon Rides • Eco Tours • Nature & Wildlife Tours • Archaeology Tours • Day Trips • City Tours • Multi-day Tours • Cultural Tours • Historical & Heritage Tours • Boat Tours • Night Tours • Private Tours • Rail Tours • Self-Guided Tours & Rentals • Bus Tours • Fashion Shows & Tours • Shopping Tours • Safaris • Taxis & Shuttles • Walking Tours • Horseback Riding Tours"
